outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,1,0,0,0,1,0,0,0,0,0,2,0,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
21,0,0,1,0,0,0,1,0,0,1,0,1,3,0,5,2,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,
28,0,0,2,0,0,0,1,0,0,1,1,2,3,0,6,3,2,2,0,1,0,0,1,0,1,0,0,2,0,0,0,
35,0,0,3,0,0,0,1,1,0,2,2,2,3,1,6,3,2,2,0,1,0,0,1,2,1,0,0,2,0,0,0,
43,0,0,4,0,0,0,1,1,0,2,2,3,3,2,9,3,2,2,0,1,0,0,1,2,1,0,2,2,0,0,0,
56,0,0,5,0,0,1,1,3,0,3,3,4,4,2,10,4,3,2,0,1,0,0,2,2,1,0,3,2,0,0,0,
63,0,0,6,0,1,1,1,3,0,3,3,5,4,2,10,5,4,2,0,1,0,0,2,2,1,0,3,4,0,0,0,
75,0,0,7,0,1,1,1,3,0,4,3,6,4,2,11,6,4,3,1,1,0,1,3,3,2,0,4,4,0,0,0,
93,0,0,7,1,2,1,1,5,0,6,3,6,4,3,13,8,4,3,2,2,0,1,3,6,3,0,5,4,0,0,0,
109,0,0,7,1,3,2,1,6,0,7,4,7,5,3,14,11,5,4,2,2,0,1,3,7,5,0,5,4,0,0,0,
130,0,0,9,1,4,2,2,10,0,7,5,7,5,3,18,12,5,4,2,4,0,2,5,7,5,0,5,5,0,1,0,
153,0,0,10,2,5,3,3,11,0,7,5,10,5,4,19,13,5,8,2,6,0,2,8,7,5,0,5,6,0,1,1,
173,0,0,10,2,5,4,3,15,0,7,5,10,7,4,21,15,7,8,2,8,1,3,9,7,5,0,6,6,0,1,2,
188,0,0,11,3,5,6,3,15,0,7,6,11,7,4,23,17,7,9,2,9,1,3,11,7,5,0,7,6,0,1,2,
212,0,0,11,4,6,7,3,16,0,7,6,12,11,4,25,20,9,11,3,9,1,3,14,8,6,0,7,6,0,1,2,
233,0,0,12,4,7,8,3,16,0,7,9,14,11,5,25,22,11,14,4,10,1,3,15,9,7,0,7,6,0,1,2,
265,0,0,12,4,7,10,3,16,0,8,10,15,13,6,28,24,14,15,6,10,1,5,18,12,10,0,8,6,0,2,2,
295,0,0,15,4,7,10,3,16,0,10,11,17,14,6,30,26,15,21,7,11,1,8,20,12,10,0,8,8,0,2,3,
325,0,0,17,6,7,12,5,16,0,11,14,18,16,6,30,30,16,21,8,12,2,9,21,14,10,0,9,9,0,2,4,
354,0,0,20,6,7,13,5,17,0,12,16,21,16,7,32,33,16,21,8,14,2,10,23,15,12,0,11,11,0,2,4,
385,0,0,20,6,7,15,5,17,0,13,19,21,16,10,34,36,18,21,10,19,2,12,25,15,13,0,12,13,0,2,4,
418,0,0,23,6,7,15,6,17,0,15,19,23,18,10,36,44,19,24,12,21,2,13,26,16,13,0,12,14,1,2,4,
445,1,0,25,7,7,15,6,18,0,16,19,23,19,11,36,49,21,25,13,22,2,15,29,18,13,0,13,14,1,3,4,
477,1,1,26,9,7,15,6,18,0,17,21,24,19,12,39,51,23,28,15,22,2,15,31,19,13,1,19,15,1,3,4,
514,1,2,29,10,7,15,7,18,0,17,22,25,19,13,44,55,27,32,15,24,2,15,32,21,17,1,19,17,1,3,4,
