outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
536,1,2,32,10,8,15,7,18,0,17,24,29,20,14,47,57,28,34,15,24,2,16,33,21,17,1,19,17,1,3,4,
575,1,2,34,10,8,16,7,20,0,20,24,30,23,15,51,62,31,36,16,25,2,18,36,22,17,1,21,18,1,3,5,
606,1,2,36,11,8,16,7,21,0,22,25,31,24,16,51,63,33,38,17,27,2,20,41,25,17,1,23,18,1,3,6,
652,1,2,42,12,8,19,7,22,1,24,26,31,25,16,55,67,35,41,20,29,2,21,46,27,19,1,23,19,1,3,7,
702,1,3,47,13,8,20,8,23,1,25,27,32,27,19,61,69,38,45,22,30,3,22,48,27,23,1,26,21,1,4,7,
736,1,4,49,15,10,22,10,23,1,28,28,37,28,19,62,69,39,47,23,31,3,24,51,28,23,1,26,22,1,4,7,
784,1,4,49,17,11,23,10,23,1,32,29,39,30,23,66,74,39,51,26,34,3,24,55,28,24,1,27,24,2,5,9,
831,1,4,52,17,12,24,10,24,1,34,30,42,30,25,74,80,39,52,30,34,3,25,57,29,28,1,28,26,2,7,10,
875,1,4,56,19,12,25,11,25,1,36,30,44,32,27,79,85,41,54,31,38,3,26,59,30,30,1,28,28,2,7,10,
930,1,4,58,21,13,28,11,25,2,37,32,45,33,30,84,91,42,56,35,41,3,30,65,33,32,1,29,28,2,7,11,
987,1,4,63,21,14,30,12,26,2,40,33,47,36,30,92,97,47,56,38,43,3,30,74,33,33,1,31,28,4,7,11,
1029,1,4,64,22,14,30,12,28,4,43,35,49,38,31,96,105,49,57,38,46,4,30,75,34,35,1,34,28,4,7,11,
1081,1,5,70,23,15,31,14,28,4,47,37,50,39,33,102,107,52,59,41,47,4,31,77,38,38,1,35,29,4,7,12,
1131,1,5,74,23,16,32,17,28,4,50,37,52,42,34,111,112,53,60,43,49,4,32,84,38,39,1,36,30,4,7,13,
1177,1,6,78,24,18,34,17,28,4,53,41,52,43,36,114,115,58,63,45,49,4,32,86,39,42,1,38,31,4,7,14,
1219,1,6,81,25,19,35,17,28,4,53,42,53,45,38,121,116,59,66,48,52,5,34,90,39,44,1,39,32,4,8,14,
1314,1,7,86,30,22,37,18,31,4,58,45,59,46,40,128,124,65,71,53,57,6,37,98,40,45,2,40,35,6,8,15,
1359,1,7,87,30,22,41,19,32,4,62,45,64,46,43,132,129,65,74,55,57,6,40,99,44,45,2,44,35,6,8,15,
1418,2,7,94,30,23,45,19,32,4,64,49,71,46,47,132,131,69,79,57,60,6,40,103,47,47,2,45,37,7,8,15,
1481,2,7,97,30,24,46,20,33,4,65,50,75,48,52,140,138,74,84,62,63,6,42,105,50,47,2,45,37,7,9,17,
1536,2,7,100,31,24,48,22,34,4,70,52,79,49,55,143,143,76,88,64,64,6,44,108,53,48,2,48,39,7,9,17,
1613,2,7,107,33,26,49,22,36,5,75,52,85,50,56,147,156,82,91,66,66,6,44,113,57,52,2,53,40,7,9,17,
1672,2,8,110,33,26,49,22,36,5,78,54,89,54,60,152,161,84,96,67,69,6,46,117,58,56,3,55,41,8,9,18,
1741,2,8,116,37,27,50,23,37,5,83,55,93,57,64,157,166,89,97,72,72,6,47,123,61,59,3,56,41,8,9,18,
1800,2,9,120,37,30,52,23,38,5,87,55,97,57,66,163,173,89,98,77,74,6,51,123,62,61,3,58,46,8,11,19,
1867,2,9,125,39,30,52,24,39,5,92,55,102,59,68,167,184,91,102,78,78,6,52,127,64,64,6,59,46,8,12,22,
1935,2,9,131,40,32,53,24,39,5,94,55,104,60,71,175,194,95,108,83,80,6,54,129,67,66,7,61,47,9,12,23,
