outputOriHN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,1,0,2,0,0,7,2,1,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
27,0,1,0,2,0,2,0,0,7,2,1,3,3,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
34,1,1,1,2,0,3,0,0,7,2,1,3,3,0,2,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,
43,2,1,1,2,0,3,1,1,7,2,1,3,3,0,2,1,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,
52,2,1,1,3,0,3,2,1,7,3,1,3,5,1,3,1,0,0,12,0,0,0,0,0,0,0,2,0,1,0,0,
62,2,1,1,3,0,4,2,1,7,6,1,3,6,1,4,1,0,0,12,1,0,0,0,0,1,0,3,0,2,0,0,
75,3,1,1,3,0,6,3,1,8,6,1,3,8,1,5,1,0,0,14,1,0,0,0,0,1,1,3,1,2,0,1,
89,5,1,1,3,1,6,5,1,10,7,2,3,8,1,6,2,0,0,16,1,0,0,0,1,1,1,3,1,2,0,1,
104,7,1,1,3,1,6,6,1,10,8,3,4,10,2,6,2,1,0,20,1,0,0,0,1,1,1,4,1,2,0,1,
118,8,3,1,3,1,7,7,1,10,10,3,4,11,2,7,2,1,1,22,1,0,0,1,1,1,1,4,2,2,0,1,
126,9,4,2,3,1,7,7,1,10,11,3,4,12,2,7,2,1,1,24,1,1,0,1,1,1,1,4,2,2,0,1,
142,9,7,2,3,2,7,7,1,10,14,3,4,13,2,10,2,1,1,26,3,1,0,1,1,1,1,5,2,2,0,1,
154,9,7,2,3,2,7,7,1,14,14,4,4,13,2,10,2,1,1,31,3,2,1,1,1,1,1,5,2,2,0,1,
160,9,7,2,3,2,7,7,1,14,16,4,4,13,2,11,3,1,1,32,4,2,1,1,1,1,1,5,2,2,0,1,
178,10,8,3,3,2,8,7,1,16,18,4,4,15,3,12,4,1,1,35,5,3,1,1,1,1,1,5,2,2,0,1,
196,10,10,3,3,2,8,7,1,21,20,4,4,15,3,14,5,2,1,36,6,4,1,2,1,2,1,5,2,2,0,1,
211,12,10,4,3,2,8,7,1,22,20,4,4,16,3,15,5,3,1,40,6,5,1,2,2,2,2,5,2,3,0,1,
241,15,11,4,3,2,9,9,3,28,22,4,4,17,3,17,7,3,1,44,6,5,1,3,2,2,2,6,3,4,0,1,
259,19,12,5,3,2,9,9,3,31,25,4,4,19,3,18,7,3,1,46,7,5,1,3,2,2,2,6,3,4,0,1,
282,19,12,6,3,3,10,9,3,32,27,5,5,19,4,21,7,4,2,51,7,6,3,3,2,2,3,6,3,4,0,1,
300,19,12,8,3,3,10,10,4,36,27,7,5,19,4,21,7,4,2,56,7,7,3,4,2,2,3,6,3,4,1,1,
324,21,13,9,3,3,10,11,5,41,31,7,5,19,4,23,7,5,2,59,7,7,4,4,3,2,3,7,3,4,1,1,
346,23,13,9,3,3,10,14,5,45,32,7,6,20,5,23,8,5,2,61,7,7,7,4,3,3,3,7,3,4,2,2,
374,25,16,10,4,3,10,14,5,49,32,9,6,22,5,24,8,5,2,65,8,9,8,4,3,5,3,8,3,4,3,2,
409,28,16,11,4,3,11,15,6,54,34,9,6,23,5,25,8,6,2,74,12,10,8,5,4,5,3,8,4,4,3,3,
442,30,18,12,6,3,12,15,6,58,35,9,6,23,5,29,8,8,2,85,13,10,9,5,4,5,3,8,5,4,3,3,
474,33,20,12,6,3,14,15,6,61,38,11,7,23,6,30,9,9,2,94,13,10,9,5,4,6,3,9,5,4,3,4,
504,37,21,13,7,4,15,15,6,65,41,11,11,23,6,31,9,9,5,99,13,10,9,5,4,6,4,9,5,4,3,4,
526,38,21,14,7,4,16,15,6,67,46,13,11,23,6,31,10,10,5,104,13,10,9,6,5,6,5,9,5,4,3,4,
565,39,23,14,8,4,19,15,7,69,48,15,11,24,7,32,10,12,6,114,14,10,10,7,6,6,6,10,5,4,6,4,
600,43,23,14,8,4,19,16,8,73,55,17,11,24,7,37,10,12,6,121,17,10,10,8,6,6,6,10,5,4,6,4,
