outputOriHN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
637,48,25,14,8,4,20,18,9,77,59,18,11,27,7,39,11,12,7,127,17,10,10,8,6,6,6,12,5,4,6,6,
680,52,27,14,8,4,20,19,9,80,63,18,11,28,7,42,12,12,7,140,18,14,10,9,6,6,7,13,6,5,7,6,
712,52,27,14,8,5,21,20,9,81,71,18,12,29,9,44,13,14,7,148,19,14,10,10,6,6,7,13,6,5,7,7,
750,59,30,15,8,5,23,21,9,82,78,20,12,30,9,45,14,17,8,152,19,15,10,11,6,6,7,14,6,5,7,7,
790,61,31,15,9,5,24,22,11,85,88,21,12,30,10,47,16,17,8,163,19,15,10,11,6,6,7,16,6,5,7,7,
827,65,32,17,9,5,24,22,11,89,93,22,13,30,10,49,16,17,8,178,19,15,10,12,6,6,7,17,6,5,7,7,
873,69,35,18,10,7,25,23,12,91,97,23,13,32,11,50,17,18,8,192,19,15,12,12,7,7,7,17,6,5,7,8,
924,73,36,19,11,7,26,23,13,97,100,25,14,36,11,52,18,20,8,208,20,16,12,12,7,7,7,19,7,5,7,8,
974,76,37,21,11,7,27,24,15,107,106,26,16,37,11,52,18,20,9,221,21,17,14,13,7,7,7,19,8,5,7,8,
1022,82,39,21,12,8,27,24,16,115,111,27,16,39,11,53,19,20,9,228,24,18,14,16,7,9,8,21,8,5,7,8,
1094,90,43,24,12,8,30,25,18,121,117,27,19,42,11,59,20,20,10,244,25,21,15,16,7,10,8,23,9,5,7,8,
1145,94,47,26,13,9,32,27,19,125,120,27,20,46,12,64,21,20,11,253,26,22,15,16,8,10,8,24,9,6,7,8,
1204,100,50,32,13,12,32,28,20,127,126,31,20,48,13,71,23,21,11,257,26,22,15,18,10,10,9,26,10,8,7,8,
1253,103,51,32,13,12,35,30,23,130,131,32,20,52,14,75,25,22,11,269,26,22,16,18,10,10,9,26,11,9,8,8,
1306,106,53,34,13,12,36,32,27,133,137,32,21,54,15,79,27,23,12,278,26,22,17,18,12,13,9,26,11,10,8,10,
1356,109,55,35,13,12,36,34,27,135,143,35,24,56,15,85,28,23,13,288,28,23,18,19,12,13,10,26,12,10,8,11,
1407,112,59,37,14,12,36,36,27,141,150,36,24,58,15,89,29,26,14,301,29,23,18,19,12,13,10,26,12,10,8,11,
1470,116,63,39,14,12,36,38,28,148,158,39,27,61,15,93,29,28,15,308,32,23,19,20,14,14,10,30,12,10,8,11,
1531,121,66,39,14,12,37,38,29,156,165,39,29,62,16,97,32,31,15,323,33,23,20,21,15,14,10,31,12,11,9,11,
1593,123,73,40,15,12,39,39,29,161,169,41,29,68,18,102,36,33,15,333,34,23,21,23,16,15,11,32,12,11,9,11,
1646,131,77,41,15,13,40,40,30,164,174,45,29,73,19,104,38,34,15,340,34,23,22,24,16,15,11,36,12,11,9,11,
