Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,14,4,1,0,1,3,4,6,4,8,4,0,3,3,2,1,5,3,14,3,4,1,1,0,1,1,1,0,0,0,0,
2,10,1,3,2,0,1,1,2,13,15,4,0,5,1,9,6,2,3,17,1,3,0,2,0,2,1,2,2,1,1,2,
3,164,94,49,23,13,49,35,31,227,210,70,15,107,20,131,67,28,36,377,40,39,21,37,9,22,16,20,16,21,23,16,
4,56,42,23,19,6,18,12,13,80,95,26,10,44,8,40,32,16,8,143,14,9,7,17,4,7,5,17,10,4,4,9,
5,58,34,11,3,9,15,10,8,55,51,12,2,23,4,32,14,5,4,90,7,8,9,11,5,6,2,4,4,4,4,7,
6,68,36,21,9,6,25,12,12,91,91,25,6,29,7,53,22,11,17,146,13,8,6,14,4,4,4,8,8,2,12,2,
7,39,18,15,6,5,8,12,5,53,35,15,5,22,2,24,13,9,11,100,6,5,3,3,6,1,5,6,2,3,4,2,
8,52,26,15,9,6,17,15,16,76,63,19,7,29,6,39,18,10,8,139,12,6,6,12,10,2,2,8,5,2,2,7,
9,3,4,3,0,0,1,1,1,8,9,2,0,4,0,5,2,0,1,14,1,3,0,3,1,1,1,3,0,0,1,1,
10,156,72,47,19,10,45,35,27,185,192,46,20,85,16,94,38,34,23,318,26,20,21,33,22,13,12,15,12,4,12,6,
11,77,38,29,13,13,25,22,17,85,103,43,19,51,10,55,26,20,18,166,19,22,8,15,6,11,5,17,12,11,8,12,
12,131,77,41,15,13,40,40,30,164,174,45,29,73,19,104,38,34,15,340,34,23,22,24,16,15,11,36,12,11,9,11,
13,64,42,20,5,3,18,18,10,86,78,22,6,53,12,60,31,8,12,163,10,10,12,13,7,8,3,12,8,2,7,8,
14,85,55,29,10,13,40,22,22,97,117,36,11,53,23,71,31,19,29,217,24,22,11,13,8,12,7,23,12,4,10,11,
15,198,111,59,19,12,69,55,34,270,253,60,18,135,26,175,62,48,37,451,48,36,22,50,17,26,20,32,20,16,13,15,
16,241,142,80,42,22,71,63,72,320,334,85,42,116,31,194,93,61,28,561,44,57,36,66,31,28,20,50,31,29,19,21,
17,132,68,30,11,10,47,29,16,141,169,43,11,67,17,95,31,38,20,278,17,35,17,29,9,9,7,18,12,6,9,13,
18,159,89,53,24,20,43,47,33,199,205,58,19,88,20,108,49,42,47,342,35,27,22,31,11,33,16,25,22,10,12,12,
19,98,56,33,11,10,32,25,27,148,132,38,13,55,12,83,33,16,15,291,27,23,14,22,14,12,7,25,4,12,7,13,
20,105,75,38,11,12,28,30,34,155,154,40,20,73,10,80,30,29,11,266,32,27,18,27,13,13,8,13,15,12,15,7,
21,7,7,5,2,3,4,1,1,16,22,4,0,6,3,6,5,0,2,33,1,1,0,3,3,0,0,0,2,2,0,3,
22,59,27,18,8,5,11,21,10,76,86,17,6,41,8,54,17,8,10,138,18,9,8,20,8,9,7,11,8,4,3,8,
23,181,102,56,17,23,61,49,24,238,268,69,30,114,20,129,64,35,31,443,38,41,19,56,20,23,21,37,28,14,11,23,
24,103,36,31,17,4,33,16,23,92,99,14,15,54,14,67,24,11,15,190,20,19,8,21,6,9,6,12,6,9,11,6,
25,107,51,30,7,12,43,24,28,109,148,41,13,66,22,66,38,25,16,229,31,22,22,23,16,21,13,26,11,12,5,7,
26,11,5,0,0,1,1,0,1,8,12,4,0,2,1,7,2,0,1,14,0,1,0,1,0,0,1,0,0,1,4,1,
27,64,44,26,10,6,23,21,9,107,96,28,15,48,9,61,21,12,12,175,15,20,6,19,2,5,5,15,6,9,11,5,
28,63,40,15,6,5,15,7,9,65,59,28,5,30,7,47,25,11,15,137,15,9,5,12,6,6,11,10,6,5,4,6,
29,9,4,6,3,1,1,2,2,5,12,2,1,2,1,9,2,2,0,19,3,1,2,2,0,0,0,1,0,2,0,1,
30,10,2,6,3,0,5,4,2,10,14,2,0,6,0,12,4,6,3,27,2,5,3,1,2,2,3,3,0,1,1,0,
31,28,12,6,2,5,13,11,4,41,48,5,5,21,1,23,13,5,6,82,5,8,10,7,3,1,3,6,4,3,4,4,
