outputDesGD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,1,0,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,1,0,1,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,1,0,1,2,2,0,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,1,0,1,2,2,0,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,0,1,0,1,2,2,0,0,0,0,3,3,1,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,
26,0,0,1,0,1,2,2,0,0,0,0,4,3,1,1,3,0,3,2,0,0,0,0,1,0,0,0,1,0,1,0,
32,0,0,2,0,2,2,2,0,0,0,0,6,3,1,1,3,0,4,3,0,0,0,0,1,0,0,0,1,0,1,0,
34,0,0,2,0,2,2,2,0,0,0,0,6,3,1,1,3,0,4,3,0,1,0,0,2,0,0,0,1,0,1,0,
40,0,0,2,0,2,2,2,3,0,0,0,6,3,1,1,3,1,4,3,2,1,0,0,2,0,0,0,1,0,1,0,
46,0,0,2,0,2,2,3,3,0,1,0,7,3,3,1,3,2,4,3,2,1,0,0,2,0,0,0,1,0,1,0,
53,0,0,2,0,2,2,3,3,0,2,0,7,3,3,1,4,2,6,3,2,2,0,1,3,0,0,0,1,0,1,0,
58,0,0,2,0,2,2,3,3,0,3,0,7,3,3,1,4,3,6,3,2,2,1,1,3,0,0,1,1,0,1,1,
64,0,0,3,0,2,2,3,4,0,3,0,7,3,3,1,4,3,6,3,3,2,1,1,3,0,0,4,1,0,1,1,
69,0,0,3,0,2,2,3,4,0,4,0,7,3,3,1,7,4,6,3,3,2,1,1,3,0,0,4,1,0,1,1,
82,0,0,4,0,2,2,3,4,0,4,1,8,3,7,1,8,5,6,4,3,2,1,3,3,0,0,5,1,0,1,1,
87,0,0,4,0,2,2,3,4,0,4,1,8,4,7,1,8,5,6,4,4,2,1,3,5,1,0,5,1,0,1,1,
98,0,0,5,1,2,2,3,5,0,4,2,8,4,7,1,11,6,6,4,4,2,1,4,6,2,0,5,1,0,1,1,
116,0,0,7,2,3,2,3,6,0,5,3,9,4,9,3,14,6,7,4,4,2,1,4,7,2,1,5,1,0,1,1,
129,0,0,8,2,3,3,3,6,0,5,3,9,4,11,4,16,8,7,4,5,2,1,5,7,4,1,5,1,0,1,1,
141,1,0,8,2,3,3,3,6,0,6,3,10,4,12,6,17,8,8,4,5,2,1,6,7,6,1,5,1,0,1,2,
160,1,0,8,3,4,3,3,6,0,9,4,10,4,14,9,18,10,9,4,6,2,1,7,9,6,1,5,1,0,1,2,
172,1,0,9,3,5,4,3,6,0,9,4,10,4,16,10,18,11,11,5,6,2,1,8,9,7,1,5,1,0,1,2,
186,1,0,10,3,5,4,3,6,0,11,4,10,4,18,11,21,12,13,5,6,2,1,9,9,7,1,6,1,0,1,2,
201,1,0,11,4,5,5,3,6,0,12,5,10,5,19,12,21,13,14,6,7,2,1,10,10,8,1,6,1,0,1,2,
216,1,0,13,4,5,6,3,6,1,13,5,11,7,19,14,22,13,15,7,7,2,1,12,10,8,1,6,1,0,1,2,
230,1,0,15,4,5,6,3,6,1,13,7,12,7,20,15,22,15,16,7,8,2,1,13,10,10,1,6,1,0,1,2,
250,1,0,16,4,6,6,4,6,1,13,8,14,7,21,18,25,15,17,7,8,2,2,13,11,11,1,8,1,0,1,3,
268,1,0,17,4,7,7,4,7,1,14,8,15,7,22,19,26,16,18,8,8,2,2,14,13,12,1,9,2,0,1,3,
285,1,0,20,5,8,9,4,7,1,16,8,16,7,22,19,26,17,19,8,8,2,2,15,14,13,1,10,2,0,1,4,
312,1,1,21,7,8,9,4,8,1,19,8,19,8,23,23,29,18,19,9,9,2,2,16,14,15,1,10,2,0,1,5,
326,1,1,22,7,8,9,5,9,1,21,8,19,9,23,24,31,19,19,9,9,2,2,17,14,16,1,11,3,0,1,5,
334,1,1,23,7,8,9,5,10,1,21,9,20,9,23,24,31,19,19,10,10,2,2,18,15,16,1,11,3,0,1,5,
354,1,1,24,7,8,9,6,11,1,22,11,20,10,23,26,32,19,20,11,11,2,3,20,17,17,1,11,4,0,1,5,
379,1,1,25,7,8,9,6,11,1,24,12,21,11,25,31,34,21,22,12,12,2,4,21,17,17,1,12,4,0,2,5,
395,1,1,26,7,9,10,6,11,1,24,12,23,11,26,32,37,21,22,12,12,2,5,24,17,17,1,14,4,0,2,5,
421,1,1,28,8,9,12,7,11,1,24,13,24,12,27,37,38,22,25,12,12,2,5,24,17,17,1,15,7,0,2,7,
442,1,1,30,8,9,14,7,11,1,25,16,24,12,27,37,40,22,27,14,13,2,5,26,17,19,1,16,7,1,2,7,
463,1,1,30,8,9,15,7,11,1,26,17,25,12,27,38,44,24,28,15,14,2,5,28,19,20,1,17,7,1,2,8,
493,2,1,33,11,9,16,7,13,1,26,19,26,12,27,41,46,26,29,15,16,2,5,30,21,21,1,18,8,1,2,8,
510,2,1,34,11,10,17,7,13,1,27,20,27,13,28,42,48,27,29,15,18,2,5,31,22,21,1,18,9,1,2,8,
526,2,1,34,11,10,18,7,14,1,27,20,27,13,30,43,50,27,31,15,21,2,5,34,23,21,1,18,9,1,2,8,
565,2,1,36,13,11,18,7,14,1,31,21,30,16,33,47,52,30,33,17,22,2,5,37,23,22,1,19,10,1,2,8,
584,2,1,37,14,11,18,8,15,1,31,22,32,17,34,47,53,32,33,19,23,2,5,40,23,23,1,19,10,1,2,8,
611,2,1,39,14,13,18,8,16,1,32,22,32,17,34,51,54,34,34,21,23,2,6,42,25,29,1,19,10,1,2,8,
637,2,1,40,15,13,20,8,16,1,34,22,35,17,35,54,58,34,34,23,23,2,7,43,25,32,1,19,10,1,3,9,
