outputOriSC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
7,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
8,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
8,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
9,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
10,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
10,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
11,3,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
13,4,2,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
13,4,2,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
15,5,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
15,5,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
16,6,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
16,6,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
16,6,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,6,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,
21,7,2,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,
23,7,2,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,
25,7,2,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,
26,7,3,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,
27,7,3,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,
27,7,3,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,
29,7,3,0,0,0,1,0,0,1,2,1,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,
30,7,3,0,0,0,1,0,0,1,2,1,0,2,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,
32,7,3,0,0,0,1,0,1,1,2,1,0,2,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,
34,7,3,0,0,0,1,0,1,1,3,1,0,2,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,2,0,
39,7,3,0,0,1,1,0,1,2,5,1,0,2,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,3,0,
41,7,3,0,0,1,1,0,1,2,5,2,0,2,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,3,0,
45,8,3,0,0,1,1,0,1,2,6,2,0,2,0,2,0,0,0,12,0,0,0,1,0,0,0,0,0,1,3,0,
50,9,3,0,0,1,1,0,1,3,7,2,0,2,0,2,1,0,1,12,0,0,0,1,0,0,0,0,0,1,3,0,
51,9,3,0,0,1,1,0,1,3,8,2,0,2,0,2,1,0,1,12,0,0,0,1,0,0,0,0,0,1,3,0,
53,9,3,0,0,1,1,0,1,3,9,2,0,2,0,2,1,0,1,12,0,0,0,1,0,0,0,0,0,1,4,0,
54,9,3,0,0,1,1,0,1,3,9,3,0,2,0,2,1,0,1,12,0,0,0,1,0,0,0,0,0,1,4,0,
58,9,4,0,0,1,1,0,1,5,9,3,0,2,0,2,1,0,1,12,0,0,0,1,0,0,0,0,0,1,4,1,
63,10,4,0,0,1,1,0,1,5,10,3,0,2,0,3,2,0,1,12,0,1,0,1,0,0,0,0,0,1,4,1,
65,10,5,0,0,1,1,0,1,6,10,3,0,2,0,3,2,0,1,12,0,1,0,1,0,0,0,0,0,1,4,1,
67,10,5,0,0,1,1,0,1,6,11,4,0,2,0,3,2,0,1,12,0,1,0,1,0,0,0,0,0,1,4,1,
73,10,5,0,0,1,1,0,1,6,11,4,0,2,1,6,2,0,1,13,0,1,0,1,0,0,1,0,0,1,4,1,
79,11,5,0,0,1,1,0,1,8,12,4,0,2,1,7,2,0,1,14,0,1,0,1,0,0,1,0,0,1,4,1,
