movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
379,13,4,3,5,4,7,2,6,22,20,31,4,15,3,9,10,12,9,137,11,1,4,23,3,15,3,3,2,0,4,9,
454,26,6,4,6,4,7,2,7,32,25,31,6,20,3,15,12,13,11,155,12,1,4,24,3,16,3,7,2,0,4,9,
534,33,7,7,7,5,9,4,10,37,37,34,7,24,3,18,14,15,13,171,15,3,4,25,4,17,3,7,3,0,5,11,
643,41,12,9,7,6,13,9,12,52,46,36,9,33,4,25,14,18,14,187,16,7,5,29,5,18,5,8,4,2,6,11,
