Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,5,4,3,1,0,0,2,3,1,2,1,1,0,3,0,4,2,4,3,0,0,0,3,1,1,2,2,3,0,0,
4,0,2,0,5,1,0,0,1,0,0,2,0,0,1,0,2,0,2,2,1,1,1,1,0,0,1,1,1,0,2,0,
5,0,1,0,0,6,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,1,1,1,0,0,0,
6,0,2,0,0,1,2,0,1,2,0,2,1,0,0,0,1,0,1,0,0,3,1,0,0,0,0,1,1,0,0,0,
7,0,1,1,1,0,2,2,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,1,1,0,1,2,0,0,
8,0,1,0,0,0,0,1,3,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,2,1,0,2,1,0,1,0,8,15,3,1,2,1,0,0,2,1,3,3,0,2,1,0,0,2,4,2,2,1,0,
11,0,0,2,0,0,1,1,1,4,3,25,3,3,0,1,1,2,1,0,1,0,1,0,0,4,2,2,0,2,0,3,
12,3,2,0,4,0,3,3,2,7,3,3,3,2,1,0,1,0,1,4,1,2,2,2,1,0,0,0,2,3,3,2,
13,1,0,2,0,2,1,1,1,4,0,0,0,12,0,2,1,1,3,1,1,1,1,0,1,3,0,1,0,1,0,1,
14,1,2,1,1,1,1,1,1,2,0,4,1,2,3,1,2,0,2,7,1,1,4,1,1,0,0,3,1,2,2,1,
15,4,3,3,1,0,2,2,6,0,5,1,0,2,3,5,1,1,3,5,0,3,1,3,0,5,1,0,2,3,3,3,
16,3,4,3,4,2,2,2,2,1,3,2,4,5,2,5,10,4,1,10,2,1,5,1,0,2,2,5,1,5,3,2,
17,0,2,2,3,0,0,2,0,2,1,3,1,2,1,0,4,13,0,8,0,2,0,0,1,1,4,1,1,0,1,3,
18,3,1,1,0,0,3,1,1,3,2,4,2,1,1,2,1,2,9,14,7,0,3,1,2,0,4,0,4,0,1,1,
19,0,0,1,1,2,1,2,0,0,1,0,5,2,2,0,0,1,2,47,0,0,0,1,0,2,1,0,0,1,0,0,
20,3,1,1,2,2,2,2,1,1,0,1,1,0,2,2,1,0,1,26,9,5,0,1,0,3,1,1,0,1,0,1,
21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,
22,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,10,0,0,1,11,1,3,1,0,0,0,2,1,
23,7,3,1,2,3,2,2,3,2,1,2,2,2,5,1,0,2,2,28,1,1,3,19,1,11,4,2,1,1,1,5,
24,0,2,1,0,1,1,0,1,3,1,1,2,0,1,0,0,0,0,2,1,1,0,2,4,1,0,3,0,1,1,0,
25,1,3,1,0,2,1,1,2,1,1,0,1,1,1,1,1,1,1,0,4,1,0,1,0,6,2,1,3,1,4,1,
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
27,3,1,0,0,1,1,0,1,2,0,0,2,1,2,2,3,0,1,2,1,0,0,1,0,0,1,4,0,0,3,1,
28,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0,2,0,0,1,0,1,0,3,2,0,3,
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
30,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
31,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,2,
