movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
359,12,3,3,5,4,7,2,4,20,18,31,4,14,3,7,10,11,8,134,11,1,3,23,3,14,3,3,2,0,2,9,
379,13,3,3,6,4,7,3,6,20,19,31,5,16,3,7,10,12,10,135,11,1,6,23,3,15,3,3,2,0,4,10,
454,18,11,4,8,5,7,6,10,23,20,31,7,19,4,11,13,13,11,139,14,4,8,27,4,16,5,8,5,1,5,13,
534,20,15,7,9,9,9,9,14,24,20,37,11,22,7,12,17,15,13,141,14,9,9,28,7,19,8,11,7,5,7,17,
643,21,23,8,13,11,16,14,16,31,24,40,15,25,11,16,19,21,14,144,16,14,12,30,8,24,12,16,8,9,12,20,
792,23,25,13,22,17,23,18,19,34,26,45,24,26,16,20,23,28,24,150,21,17,15,34,10,29,19,19,12,17,19,26,
922,30,32,17,28,24,23,20,22,42,33,49,26,31,21,25,25,31,32,161,33,21,22,39,15,36,24,24,19,24,20,27,
1094,35,40,27,32,29,27,25,28,47,36,56,33,38,30,28,31,36,37,168,39,27,28,43,18,45,31,30,28,31,27,30,
