outputDesGD,12,1,22,13,28,19,20,24,21,3,8,16,17,18,10,14,7,6,5,30,29,27,15,9,4,23,2,31,26,25,11,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0,1,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,1,1,0,0,1,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
32,1,1,0,1,1,22,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
34,2,1,0,1,1,22,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
41,2,1,1,1,1,23,0,0,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,
50,2,1,1,1,1,24,0,0,4,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,1,3,1,
51,2,1,2,1,1,24,0,0,4,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,1,3,1,
57,3,1,2,1,2,24,0,1,4,1,2,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,3,1,3,2,
67,3,1,3,1,3,24,0,1,5,2,2,1,2,2,1,0,1,0,0,1,0,1,0,2,1,0,0,3,2,3,2,
78,3,1,4,1,4,24,0,1,5,2,2,3,2,3,1,1,1,0,0,3,0,3,0,2,1,0,0,3,2,3,3,
86,3,1,5,1,5,24,0,2,6,3,2,3,2,3,1,1,2,0,0,3,0,3,0,2,1,1,0,3,3,3,3,
94,4,1,5,2,5,24,0,3,6,3,2,3,2,4,2,1,2,0,0,3,0,3,0,3,1,1,0,3,4,4,3,
109,4,2,5,2,5,25,0,3,6,3,3,3,2,5,3,1,3,0,1,3,0,3,1,3,3,1,2,3,4,7,3,
114,4,2,5,2,5,26,0,4,6,3,3,3,2,5,3,1,4,0,1,3,0,3,1,3,5,1,2,3,4,7,3,
127,5,3,7,2,6,28,0,5,7,3,3,4,3,5,3,1,4,0,1,3,0,3,1,3,6,2,2,3,4,7,3,
146,6,3,8,4,6,28,0,5,8,3,5,4,4,6,5,1,5,1,2,4,0,4,1,3,6,2,4,3,4,7,4,
160,6,3,8,4,8,29,0,5,8,7,5,4,4,6,5,1,5,1,3,6,0,4,1,3,6,3,5,3,4,8,5,
180,6,3,9,4,9,29,1,5,10,7,5,5,5,7,5,2,5,1,3,8,1,4,3,3,7,5,6,3,5,9,5,
190,6,3,9,4,10,29,1,5,10,9,5,5,5,7,5,2,6,2,4,8,2,4,3,4,7,5,6,3,6,9,6,
204,6,4,10,4,11,30,1,5,10,9,5,5,5,7,5,2,6,2,4,10,3,4,3,5,7,6,8,4,6,9,8,
225,6,4,11,4,12,32,2,5,10,10,6,5,6,8,5,2,6,2,4,11,5,5,4,6,8,8,9,5,7,9,8,
245,7,6,11,4,15,32,3,5,12,10,6,7,7,8,5,4,6,2,4,13,6,5,4,6,9,9,9,5,8,9,8,
259,7,6,11,4,16,34,4,6,12,11,6,7,7,8,6,6,6,2,4,13,6,5,4,6,9,9,10,7,8,10,9,
276,8,7,11,5,16,34,4,6,12,13,8,7,7,10,6,6,7,2,4,13,6,5,4,6,12,9,10,8,9,11,10,
297,8,7,11,5,17,34,5,8,15,13,9,7,8,10,6,6,7,3,4,16,7,7,5,6,14,9,11,8,9,11,11,
311,10,8,11,5,17,34,6,9,17,13,10,7,8,10,6,8,7,3,5,16,7,7,5,6,14,10,12,8,9,12,11,
335,13,9,13,6,17,36,6,9,20,14,10,7,9,10,6,9,8,4,5,16,8,7,6,7,14,10,13,8,11,13,11,
373,14,12,16,6,17,37,6,10,21,14,12,9,9,10,6,9,10,5,6,17,9,8,8,10,16,10,13,11,14,14,14,
403,14,13,16,8,17,38,7,10,22,15,12,10,9,11,6,12,14,6,7,21,10,8,9,11,18,11,14,11,14,15,14,
431,14,16,17,8,17,39,7,11,24,16,12,10,9,11,7,13,15,10,7,22,11,11,12,11,18,12,14,12,15,15,15,
458,14,17,17,8,19,39,7,11,26,16,12,11,12,11,9,15,18,11,9,22,12,12,12,12,19,13,14,13,16,16,15,
490,15,19,18,11,22,39,8,13,28,18,12,13,12,11,9,17,18,11,9,22,12,13,13,14,20,14,15,15,17,17,15,
