outputOriHN,12,1,22,13,28,19,20,24,21,3,8,16,17,18,10,14,7,6,5,30,29,27,15,9,4,23,2,31,26,25,11,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
27,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,
31,1,0,0,2,1,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,
39,2,0,0,2,1,0,0,0,0,0,1,21,0,2,0,1,0,0,0,1,0,2,2,0,0,3,1,0,0,0,0,
48,2,0,1,3,1,0,1,0,0,0,1,21,1,2,0,1,0,0,0,2,1,4,3,0,0,3,1,0,0,0,0,
51,2,0,1,3,1,0,1,0,0,0,1,21,1,3,0,1,0,0,0,2,1,4,3,1,1,3,1,0,0,0,0,
57,3,0,1,3,1,0,2,0,0,0,1,21,1,3,1,1,2,0,0,2,1,4,3,2,1,3,1,0,0,0,0,
71,3,0,3,4,1,0,2,1,0,0,1,21,1,3,1,3,2,1,0,3,1,8,4,2,2,3,1,0,0,0,0,
79,3,0,3,4,2,0,2,1,1,0,1,22,1,3,1,3,4,2,0,3,1,8,4,3,2,3,2,0,0,0,0,
92,3,0,4,5,3,1,2,1,1,0,1,22,1,3,1,3,5,4,0,6,1,8,4,4,2,3,2,1,1,0,0,
99,3,1,4,5,4,3,2,1,1,0,1,22,1,3,1,3,5,4,1,6,2,8,4,4,2,4,2,1,1,0,0,
107,3,1,5,6,4,3,2,1,2,0,1,22,1,3,2,3,5,4,1,6,2,8,4,4,2,4,3,2,2,0,1,
118,4,1,5,7,4,3,2,1,2,0,1,22,1,3,3,3,5,4,2,7,2,8,7,4,2,5,4,2,2,1,1,
131,6,1,5,8,5,3,4,1,2,1,1,22,2,3,4,3,5,5,2,7,2,9,7,5,2,5,4,2,3,1,1,
143,6,1,6,9,5,3,4,1,3,2,1,22,2,5,4,3,5,6,2,8,3,10,7,5,2,7,4,2,3,1,1,
156,6,1,7,10,6,4,5,1,4,2,1,22,2,6,4,4,6,7,2,8,3,10,8,6,2,7,5,2,3,1,1,
175,7,2,7,11,6,4,7,2,6,2,1,22,2,6,4,6,7,7,3,10,3,10,8,6,3,7,5,3,4,1,3,
183,7,3,7,11,6,4,7,2,6,2,1,23,2,6,4,6,8,7,3,10,3,10,9,6,6,7,5,3,5,1,3,
210,8,4,7,11,7,5,7,2,6,3,1,25,2,8,6,7,8,7,4,11,3,10,10,7,9,7,7,4,6,3,5,
221,9,4,7,12,8,5,7,2,7,4,1,25,3,8,8,7,10,7,4,11,3,10,10,7,9,7,7,4,6,4,5,
233,9,4,7,12,9,5,8,3,7,5,1,25,3,8,8,8,10,7,4,11,3,11,10,8,9,8,8,5,8,4,5,
247,10,6,7,12,9,5,8,3,7,5,1,27,3,9,10,8,10,7,4,11,3,12,11,8,9,9,9,6,8,5,5,
263,10,7,8,12,9,7,8,4,7,7,2,27,4,9,11,8,10,9,6,12,4,12,11,8,9,9,9,6,8,5,5,
283,11,7,9,12,9,7,8,7,7,8,2,29,4,9,13,9,10,9,6,13,5,12,11,8,10,9,9,8,9,8,5,
307,12,7,11,12,11,7,9,7,9,8,3,30,4,9,13,9,11,9,7,15,6,12,12,9,10,12,10,9,9,8,7,
320,12,7,11,13,11,7,10,7,9,8,4,31,5,9,13,9,11,10,8,15,6,12,16,9,10,12,10,9,10,8,8,
346,12,7,11,13,12,7,11,7,10,9,4,32,5,11,15,9,14,10,9,17,6,14,17,10,12,12,11,9,12,9,9,
373,14,7,11,14,12,7,11,10,10,10,4,32,5,12,16,11,15,10,11,17,7,15,19,12,13,12,13,10,13,10,10,
417,15,9,12,15,13,9,12,10,12,11,5,33,6,13,18,13,20,10,12,18,9,17,21,13,15,14,15,12,13,11,11,
437,15,10,12,17,13,10,12,11,12,11,5,35,7,14,18,14,20,11,12,20,9,18,21,16,16,14,16,12,13,12,11,
456,15,10,12,18,14,10,13,12,13,11,7,36,7,14,19,14,22,12,12,20,9,18,22,17,17,16,16,12,13,13,12,
484,15,10,13,19,16,11,14,13,15,11,9,36,8,14,21,14,24,14,12,21,11,20,22,18,17,17,16,12,13,13,15,
511,16,10,15,19,17,13,14,14,16,12,9,38,8,15,22,15,24,15,12,21,13,22,22,18,18,17,16,13,15,14,18,
542,16,12,16,22,18,14,14,16,18,12,9,39,8,16,22,17,24,17,13,23,14,25,22,21,18,17,16,15,16,14,18,
572,16,13,18,22,19,14,15,19,19,13,9,40,9,17,23,17,24,18,14,23,15,25,24,22,18,20,18,16,18,14,20,
593,18,13,19,22,19,14,15,19,21,14,9,42,10,19,24,17,24,19,14,23,15,26,24,23,19,21,18,19,19,14,20,
617,18,13,20,22,21,16,17,19,23,15,9,42,10,19,24,17,25,21,16,25,15,26,26,23,21,21,18,19,19,16,21,
652,22,15,24,24,24,17,19,19,24,16,9,45,11,19,24,18,25,24,17,25,15,26,28,24,23,21,18,19,19,16,22,
674,23,17,24,26,25,19,20,20,24,19,9,45,11,20,24,18,26,24,17,26,15,26,29,25,23,21,19,20,20,16,23,
717,25,18,26,27,26,21,21,21,25,21,13,46,13,25,26,20,27,25,19,29,15,26,30,25,24,22,19,22,20,17,23,
764,25,20,27,30,28,22,23,23,28,24,14,47,13,28,28,21,29,25,21,31,16,27,33,25,24,23,19,23,24,19,24,
793,25,20,30,31,28,23,23,25,29,25,14,48,15,29,29,21,31,25,22,32,17,27,34,26,27,23,20,23,25,21,25,
820,26,21,31,32,28,26,23,25,31,26,14,48,16,31,29,22,31,27,22,32,17,27,35,29,30,24,21,23,25,22,26,
856,27,23,32,32,28,29,26,25,31,28,14,50,17,32,29,23,33,31,22,33,17,28,35,30,30,27,22,24,26,25,27,
891,28,24,34,35,30,29,26,25,32,31,15,51,17,33,29,23,33,33,24,34,18,29,37,30,31,30,24,25,26,26,29,
911,29,24,34,37,30,30,27,27,33,31,15,52,17,34,29,23,35,35,25,34,18,29,37,30,32,30,24,26,27,27,30,
941,30,25,34,37,30,31,28,28,35,31,18,54,17,35,30,24,36,36,26,36,20,30,37,32,32,30,25,27,28,28,31,
966,32,25,34,38,31,32,30,28,35,32,19,54,18,35,31,24,38,38,26,36,22,32,40,32,32,32,25,28,28,28,31,
995,32,27,35,39,32,33,31,29,35,33,21,54,19,36,32,24,39,39,27,36,25,32,42,32,32,33,28,29,29,29,31,
1039,33,29,36,40,33,34,33,30,35,34,23,55,21,37,34,25,41,43,29,37,28,33,42,34,33,35,28,31,30,31,32,
1082,33,30,37,43,34,35,33,31,38,34,24,58,22,38,35,26,42,44,31,37,28,38,44,36,34,36,30,35,32,31,33,
