movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1475,50,35,22,11,13,26,14,16,112,123,52,13,49,14,64,28,30,23,551,25,16,17,41,14,34,16,22,9,6,9,20,
1684,63,44,23,14,15,32,15,19,129,136,57,15,57,16,77,37,33,23,634,27,19,19,43,16,35,17,23,10,6,10,20,
1878,76,47,26,17,16,36,15,21,148,157,65,18,66,17,83,42,37,23,705,28,23,19,47,18,38,18,24,11,6,11,20,
2122,95,55,30,22,16,40,18,22,170,169,69,18,72,19,98,45,38,27,809,34,24,21,50,20,38,22,25,14,7,13,22,
2381,109,60,34,23,17,43,24,27,188,198,73,23,80,21,112,46,44,31,909,35,27,27,53,22,41,23,27,17,7,15,25,
2665,124,67,36,27,18,47,29,27,207,224,76,25,89,24,127,52,46,33,1028,39,29,29,57,24,46,26,29,20,12,18,30,
2967,148,74,41,28,18,55,33,31,230,248,82,29,98,27,143,60,52,36,1145,43,32,30,59,24,50,27,33,23,15,21,32,
3263,161,81,46,30,20,61,36,35,256,272,91,31,109,29,157,63,54,38,1275,47,34,35,62,28,53,29,36,24,16,21,33,
3507,169,87,50,31,25,61,41,36,275,292,94,31,118,33,168,65,53,45,1384,48,35,37,69,29,57,32,40,26,17,24,35,
3978,195,102,55,34,30,71,45,45,311,334,103,36,134,42,189,74,58,48,1579,53,39,44,74,33,59,33,46,29,20,26,37,
4334,219,110,61,39,32,79,47,49,339,372,111,41,143,45,211,77,62,51,1704,60,43,49,82,37,64,34,48,33,23,28,41,
4673,244,117,62,41,35,85,51,51,370,404,116,45,154,46,222,82,67,57,1838,63,46,54,87,39,67,35,53,38,27,34,43,
5046,270,126,68,41,35,90,61,57,400,431,120,48,163,47,244,92,72,58,1993,67,52,57,94,42,70,37,59,39,29,38,46,
5459,295,136,73,46,40,97,70,65,436,465,124,50,177,54,259,106,76,62,2159,71,55,61,97,48,72,37,64,43,34,41,46,
5878,320,142,79,52,44,103,78,76,479,502,132,55,192,56,277,114,79,65,2320,78,62,63,101,52,74,41,65,47,37,45,48,
6326,352,148,87,54,47,109,87,81,516,544,144,60,208,59,299,120,85,70,2481,86,70,67,110,56,80,49,69,50,40,46,52,
6797,379,156,90,58,49,115,94,85,558,583,152,64,224,63,323,132,91,74,2672,93,77,71,119,61,83,55,71,55,46,48,56,
7283,414,169,91,63,51,123,102,91,600,623,161,69,237,67,349,147,100,81,2864,94,82,74,122,63,88,58,79,58,53,50,60,
7757,436,179,99,65,54,133,104,100,643,663,164,71,255,73,373,151,106,86,3058,104,92,77,127,63,96,60,84,63,58,52,68,
8283,465,192,107,70,56,145,111,106,686,706,176,78,272,78,401,158,111,93,3275,107,99,80,138,67,104,63,85,66,60,57,71,
8546,479,197,111,72,59,149,110,111,712,739,180,84,286,81,408,157,113,96,3382,107,102,79,133,66,107,68,89,75,60,59,75,
9325,537,220,120,82,69,160,119,118,775,816,193,98,311,94,448,167,123,103,3672,114,109,83,147,73,114,73,94,85,62,69,77,
9872,564,242,126,86,74,168,128,126,827,866,198,104,336,98,470,176,131,112,3878,121,119,87,156,76,118,75,100,87,68,70,85,
10425,597,263,143,92,85,184,136,133,871,915,206,108,349,101,492,186,137,118,4091,129,124,92,160,79,120,77,107,89,70,78,93,
11019,633,283,148,99,87,194,142,142,904,977,219,111,370,108,520,198,144,124,4325,139,135,99,172,83,123,82,114,94,73,83,94,
11627,672,297,159,103,92,205,148,151,946,1034,227,117,392,113,549,207,155,126,4572,150,141,105,179,91,130,88,118,97,78,89,96,
12235,703,315,175,108,96,215,157,158,1010,1086,239,124,405,118,579,219,163,130,4800,158,148,109,188,96,135,92,131,101,81,93,103,
12860,743,334,186,113,99,224,168,167,1058,1147,249,127,427,123,604,226,164,136,5064,166,155,116,198,101,140,96,135,106,84,94,110,
13488,776,348,201,119,101,234,182,170,1105,1207,267,132,459,130,622,235,172,143,5323,171,159,121,211,107,144,99,138,109,89,101,113,
14141,816,370,210,125,107,244,191,177,1159,1269,270,139,481,134,654,251,183,149,5587,177,168,128,216,111,154,102,140,115,92,106,116,
14799,846,387,225,131,112,261,197,188,1218,1326,282,141,508,139,682,260,192,155,5876,185,175,131,222,114,157,105,140,123,94,110,117,
15567,888,404,240,142,121,276,203,196,1292,1405,300,144,535,149,708,274,201,159,6171,200,180,140,236,119,160,113,146,126,100,114,125,
15764,890,405,245,151,119,281,205,199,1319,1421,310,146,536,152,719,274,202,160,6259,204,182,148,237,120,157,113,142,126,102,115,125,
16884,975,437,264,167,128,309,219,218,1408,1535,337,157,566,163,751,296,221,170,6680,220,195,154,247,130,169,118,153,134,103,126,134,
17588,1017,460,282,175,135,317,232,229,1471,1614,354,163,589,169,781,307,233,178,6943,226,200,159,253,136,173,124,158,141,104,129,136,
18335,1057,489,296,179,141,330,241,238,1543,1687,368,163,610,177,808,320,240,187,7258,238,207,164,259,136,177,131,164,145,106,135,141,
19156,1116,515,312,188,145,335,247,249,1622,1756,384,170,632,186,829,338,252,192,7591,246,214,176,273,137,181,138,172,155,112,143,150,
19940,1165,538,328,202,152,345,259,259,1685,1830,399,176,670,195,859,353,265,201,7880,257,224,182,282,143,189,143,177,160,121,149,152,
20748,1221,572,343,215,155,358,270,264,1759,1906,411,181,695,204,891,368,273,217,8179,267,234,192,296,150,190,149,188,166,125,152,157,
21612,1283,609,351,223,167,376,281,277,1828,2002,435,191,724,212,934,385,280,222,8482,274,242,198,307,157,196,156,193,171,133,157,166,
22530,1344,644,361,230,177,395,299,285,1908,2098,450,195,752,216,971,403,295,234,8834,287,248,210,317,165,199,164,201,177,138,163,170,
23389,1401,672,378,241,183,408,309,294,1975,2174,466,204,767,221,1005,416,308,247,9185,305,262,213,328,171,210,171,209,183,140,170,173,
24256,1444,697,400,251,193,416,316,301,2062,2268,479,210,796,226,1043,434,315,256,9533,311,273,219,337,177,219,174,218,185,146,177,180,
25151,1499,726,413,259,198,435,325,315,2133,2357,502,217,820,235,1093,448,322,263,9880,326,286,225,348,183,225,179,225,192,153,182,187,
