movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
431,13,3,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,152,11,2,11,20,4,15,3,5,2,0,2,11,
443,13,3,4,5,5,8,2,5,26,25,37,5,16,3,8,12,13,9,156,11,2,11,20,5,16,3,5,2,0,2,11,
511,15,6,5,5,6,9,3,7,31,31,41,7,17,3,10,12,13,9,183,12,2,11,21,6,18,4,7,2,0,3,12,
590,20,8,6,6,7,10,3,9,35,33,42,7,20,3,15,12,13,9,219,14,3,12,22,8,21,4,9,3,1,3,13,
701,28,12,7,8,8,11,5,11,43,39,46,7,25,6,19,15,15,10,260,15,4,13,24,9,21,7,9,4,2,3,15,
798,30,14,7,9,9,14,6,10,52,51,48,7,31,7,22,15,16,11,299,15,7,14,26,8,24,8,9,6,3,5,15,
951,33,19,9,9,9,16,9,11,64,69,49,7,39,8,31,20,20,14,354,15,9,15,29,9,29,10,11,6,4,7,17,
1121,40,26,14,11,10,19,9,15,82,81,50,10,43,9,43,21,24,18,413,18,10,15,33,11,30,13,13,8,6,7,19,
1306,46,31,18,11,12,25,11,15,93,108,52,11,48,13,56,23,25,21,477,20,14,16,38,13,32,16,18,9,6,8,20,
