Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1499,4,5,113,43,24,39,26,35,4,74,55,79,39,55,107,153,82,92,54,68,6,40,128,49,74,2,44,26,9,5,12,
726,0,1,56,14,15,19,13,15,5,44,26,38,13,32,63,61,34,54,24,30,6,22,72,18,34,4,26,14,2,3,3,
413,5,3,35,8,3,9,1,11,2,19,9,23,12,20,34,37,19,24,15,20,0,7,33,20,17,0,11,11,4,4,8,
259,1,0,16,8,9,8,4,2,2,10,4,12,10,8,16,33,9,19,13,11,0,3,28,8,16,1,6,4,2,0,2,
198,1,0,12,4,7,4,2,3,0,7,4,13,8,6,14,24,11,15,6,8,1,10,14,8,13,1,3,2,1,1,5,
435,2,0,24,16,12,13,8,12,1,22,15,33,11,14,29,47,19,33,19,18,2,5,28,16,22,0,9,12,2,2,6,
325,2,1,18,14,5,7,4,12,1,14,14,19,10,13,28,34,21,11,12,13,3,8,29,10,13,0,9,8,1,1,3,
315,0,1,18,9,10,4,6,9,1,17,13,22,8,8,32,24,16,24,17,13,1,6,28,4,12,0,10,6,1,2,2,
2133,6,11,137,55,26,50,36,52,5,116,67,132,72,83,184,191,131,117,85,87,6,55,168,76,86,4,65,39,8,14,28,
2357,6,9,141,70,49,58,44,58,4,134,84,112,68,82,193,231,105,146,96,122,10,59,161,84,114,10,75,56,9,9,37,
502,4,5,25,10,9,12,9,6,0,30,38,31,18,23,29,40,22,32,13,33,3,10,43,18,18,1,10,11,1,4,5,
217,2,1,13,8,2,7,9,2,0,12,7,7,7,9,16,20,10,16,9,6,1,4,19,6,12,0,10,6,0,1,2,
820,1,3,60,21,13,25,12,7,2,42,33,54,30,30,63,79,44,50,42,27,1,25,54,22,38,3,21,25,2,4,11,
235,0,0,17,6,5,4,2,3,1,10,4,11,5,19,18,24,16,9,12,13,3,3,22,8,8,1,6,5,3,1,3,
1093,2,5,64,24,13,36,10,19,3,58,27,67,43,45,93,117,49,72,53,58,6,29,88,31,46,4,28,18,3,4,16,
448,1,0,34,8,11,9,5,14,0,25,19,30,10,15,41,44,17,30,10,17,1,14,25,14,30,3,17,12,0,2,4,
322,0,0,14,6,9,10,3,8,1,14,8,17,12,11,20,38,26,25,17,18,0,6,20,11,11,0,9,5,1,1,9,
263,1,1,18,6,9,4,4,3,1,12,7,15,4,9,25,27,11,22,15,11,0,6,21,5,17,2,6,7,0,0,4,
9880,30,37,638,233,153,257,157,209,23,530,297,553,259,407,766,912,500,605,476,478,51,273,724,382,457,34,317,239,26,45,141,
326,2,0,22,8,4,6,6,9,0,17,15,17,11,10,23,35,11,27,8,27,2,12,24,4,16,1,8,13,0,1,3,
286,2,2,24,5,3,11,4,9,0,22,9,12,5,11,23,28,16,19,7,15,2,4,17,13,14,1,5,6,0,1,6,
225,0,0,8,5,5,5,4,7,0,7,10,13,8,9,17,16,9,18,9,7,0,11,27,6,12,0,9,4,1,3,3,
348,1,0,15,13,6,7,1,16,0,13,14,9,7,13,36,46,14,21,14,10,3,18,38,9,11,2,11,11,0,1,6,
183,1,1,16,2,0,4,2,3,0,10,9,11,4,3,11,19,14,9,9,8,2,5,10,8,10,1,7,4,0,1,5,
225,0,1,8,8,1,7,4,3,1,13,5,11,5,9,22,19,12,13,11,7,0,8,22,8,19,0,3,7,0,0,5,
179,0,1,10,6,2,5,2,5,0,12,8,9,7,8,14,12,3,10,7,9,0,6,14,7,14,0,4,7,1,0,2,
225,0,2,13,3,5,8,3,4,0,12,5,16,4,8,22,20,6,14,9,13,1,5,12,10,15,1,12,8,1,1,3,
192,0,1,18,1,3,3,0,3,1,9,3,7,2,9,24,17,9,19,7,10,0,9,13,6,9,1,6,9,1,1,1,
153,0,1,12,6,2,5,4,2,0,7,4,8,2,7,13,14,6,10,3,8,1,6,11,9,8,0,4,4,2,1,1,
182,0,0,15,4,5,6,5,3,2,5,6,10,5,5,15,23,6,10,8,10,0,3,11,5,7,3,9,5,1,0,0,
187,0,0,8,7,2,4,1,2,2,4,7,14,3,6,22,22,13,11,3,10,0,4,14,7,9,0,5,9,0,0,3,
