outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
757,1,4,43,17,7,24,6,15,2,34,22,40,30,30,66,78,23,54,35,43,5,18,64,18,25,3,23,10,3,4,10,
789,1,4,44,19,8,25,6,15,2,36,23,42,32,33,67,82,24,58,36,44,5,18,65,20,27,3,23,10,3,4,10,
819,2,4,46,19,8,26,6,15,2,39,23,44,32,35,70,86,26,59,39,46,5,18,66,20,27,3,24,12,3,4,10,
846,2,4,46,19,8,28,7,16,2,40,23,46,33,36,70,91,28,61,41,48,5,19,68,20,28,3,25,12,3,4,10,
867,2,4,47,19,8,28,8,16,2,42,24,49,34,36,73,92,29,62,43,50,5,19,69,20,29,3,25,12,3,4,10,
897,2,4,51,19,9,28,8,16,2,44,25,50,36,37,75,95,32,62,44,52,5,20,72,21,30,3,25,12,3,4,11,
929,2,5,54,19,10,29,9,17,2,45,25,52,39,38,77,98,34,62,46,54,5,20,72,25,30,3,25,14,3,4,11,
972,2,5,56,19,10,32,9,18,2,49,25,56,40,39,82,101,37,62,46,56,6,23,76,26,32,3,26,14,3,4,13,
1009,2,5,59,20,10,34,9,18,3,50,25,58,40,40,88,103,39,65,47,56,6,23,81,28,35,3,26,15,3,4,14,
1043,2,5,59,21,10,34,9,18,3,52,26,60,41,42,90,106,40,67,48,56,6,24,84,29,39,4,27,18,3,4,16,
1081,2,5,60,23,12,34,9,19,3,56,27,60,41,43,91,113,45,69,49,57,6,28,86,29,42,4,27,18,3,4,16,
1131,2,5,64,24,13,36,10,19,3,58,27,67,43,45,93,117,49,72,53,58,6,29,88,31,46,4,28,18,3,4,16,
