outputOriHN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,1,0,3,0,0,7,1,1,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,1,0,3,0,0,8,1,1,3,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,
31,0,0,0,1,0,3,0,0,8,1,2,3,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,
41,0,0,0,1,0,3,0,0,9,1,2,3,2,0,3,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,
51,0,1,0,1,0,3,0,0,10,3,3,3,3,0,3,0,0,1,18,0,0,0,0,0,0,0,0,1,1,0,0,
59,0,1,0,1,0,3,0,0,11,3,3,3,3,0,4,0,0,3,22,0,0,0,0,0,0,0,0,1,1,0,0,
71,0,2,1,1,0,4,0,0,11,4,3,3,3,0,5,0,0,3,25,0,0,0,0,0,0,1,1,1,1,1,1,
80,0,2,1,1,0,4,0,0,11,6,3,3,4,0,5,2,0,3,28,0,0,0,0,0,0,1,2,1,1,1,1,
89,2,2,1,1,0,4,0,1,11,7,3,3,5,0,5,2,0,3,32,0,0,0,0,0,0,1,2,1,1,1,1,
103,2,2,1,1,0,5,0,1,14,9,4,3,6,0,5,3,0,3,36,0,0,0,0,0,0,1,2,1,1,2,1,
117,3,3,1,1,0,6,1,1,16,10,5,3,7,0,6,3,0,3,39,0,0,1,0,0,0,1,2,1,1,2,1,
129,5,3,1,1,0,6,2,1,17,11,5,3,7,0,6,3,1,3,43,0,0,2,0,0,0,1,2,1,1,2,2,
146,5,6,1,1,0,6,2,1,18,11,5,3,7,0,7,3,1,3,52,0,0,2,0,0,2,1,3,1,1,2,2,
152,5,7,2,1,0,7,2,1,18,11,5,3,7,0,7,3,1,3,55,0,0,2,0,0,2,1,3,1,1,2,2,
162,5,7,2,2,0,7,2,1,20,11,6,3,7,0,7,4,1,3,60,0,0,2,0,0,2,1,3,1,1,2,2,
174,6,7,3,2,0,7,2,1,21,11,6,3,7,0,8,4,1,3,66,0,0,3,0,0,3,1,3,1,1,2,2,
202,7,8,3,2,0,8,3,1,24,12,8,3,10,1,11,6,1,4,72,0,0,3,0,0,3,2,3,1,1,3,2,
219,7,9,3,2,0,8,3,1,24,13,8,3,10,1,12,6,1,4,82,1,0,3,0,1,4,2,3,1,1,3,3,
234,9,9,3,2,0,8,3,1,26,15,9,3,11,1,12,6,1,4,88,1,0,4,0,1,4,2,3,1,1,3,3,
258,12,9,3,2,0,8,3,1,28,18,9,3,15,1,12,6,1,4,98,1,0,5,0,1,4,2,3,1,2,3,3,
280,14,11,3,2,0,8,5,2,31,18,9,3,15,2,13,8,1,4,105,1,0,5,0,1,4,2,3,1,3,3,3,
296,16,11,3,3,2,8,5,2,36,19,9,3,15,2,14,8,1,4,109,1,0,5,0,1,4,2,3,1,3,3,3,
318,19,12,3,3,2,8,5,2,37,21,10,4,16,2,15,8,2,4,114,2,0,5,0,1,4,3,3,1,4,3,5,
344,22,12,3,3,2,8,6,3,44,23,10,4,18,3,16,9,2,4,119,2,0,5,0,2,4,3,3,1,4,4,5,
366,24,12,3,3,2,10,6,4,45,24,10,4,18,3,17,10,2,4,129,2,1,5,0,2,5,3,3,1,5,4,5,
392,25,12,4,3,2,11,6,4,50,26,10,4,19,3,18,11,2,4,140,2,1,5,0,2,5,3,3,2,5,4,6,
419,26,12,5,3,2,12,8,4,52,30,11,4,19,3,19,11,2,4,153,3,1,5,0,2,5,3,3,2,5,4,6,
454,27,13,6,3,3,13,8,6,54,32,11,4,20,3,21,12,3,4,168,3,1,5,0,2,6,3,4,2,6,4,7,
495,29,15,6,3,3,16,9,8,58,35,12,5,22,4,25,12,3,4,181,5,1,5,0,2,6,3,4,2,6,4,7,
519,31,15,6,3,3,18,9,9,60,35,13,5,25,4,26,12,4,4,189,5,2,5,0,3,6,4,4,2,6,4,7,
560,36,16,6,4,3,19,10,9,61,39,13,5,27,4,26,13,5,6,203,5,3,6,0,3,6,4,5,2,6,5,10,
592,36,18,6,4,3,19,10,9,63,43,13,6,28,4,29,13,5,7,217,6,5,6,0,3,6,4,6,2,6,5,10,
636,39,18,6,4,3,19,10,9,63,46,14,7,30,4,30,13,6,7,244,8,7,6,0,3,6,4,7,2,6,5,10,
666,39,18,6,5,4,20,10,9,64,51,15,7,32,4,31,16,7,7,253,8,7,6,0,4,6,4,9,3,6,5,10,
689,44,18,6,5,4,20,10,9,65,54,16,7,32,4,32,16,7,7,262,8,7,7,1,4,6,4,9,3,6,5,11,
728,46,20,6,5,4,22,11,10,66,56,18,7,33,5,35,17,7,7,282,8,7,7,1,4,6,4,9,3,6,5,11,
765,46,21,6,5,5,22,11,10,69,59,19,7,34,5,37,18,7,7,301,9,8,7,2,5,6,4,9,3,6,6,11,
793,46,22,8,6,6,23,11,10,72,61,19,7,36,6,38,18,8,7,312,9,8,7,2,5,7,4,9,3,6,6,11,
838,47,22,8,7,7,23,11,11,81,66,20,7,38,6,39,18,9,8,328,11,8,8,4,5,7,4,9,3,6,6,11,
876,51,24,10,7,7,23,12,11,84,68,21,7,42,6,40,19,10,9,337,11,8,8,5,6,7,5,9,4,7,7,11,
940,56,27,12,9,7,26,12,13,87,71,21,7,45,7,42,20,11,10,362,12,8,9,5,6,7,6,10,5,7,8,12,
967,57,28,14,9,8,27,12,13,89,77,23,7,45,7,44,20,11,10,369,12,8,9,5,6,8,6,10,6,7,8,12,
1009,57,28,14,9,8,27,13,14,94,81,23,7,47,8,46,21,11,10,392,12,8,9,5,6,8,6,11,6,7,8,13,
1065,61,30,14,9,8,28,15,14,103,85,23,7,48,8,49,23,12,11,412,12,9,10,6,6,9,7,11,6,8,8,13,
1110,63,31,15,10,9,28,16,15,106,87,24,7,49,9,50,24,12,11,435,13,10,10,6,7,9,8,11,6,8,8,13,
1152,67,33,17,10,10,28,16,17,110,88,25,7,50,9,52,24,15,11,451,13,10,11,6,7,9,8,12,7,8,8,13,
1193,72,33,19,10,11,29,17,17,114,89,27,7,51,11,56,25,15,11,465,13,10,11,6,7,10,8,13,7,8,8,13,
1233,73,34,20,11,12,30,17,19,117,94,28,7,51,11,58,26,15,13,476,14,10,12,6,9,10,8,15,7,8,9,13,
1284,74,36,21,11,12,30,19,20,120,100,29,7,52,11,60,27,16,14,501,14,10,12,7,9,11,9,15,7,8,9,13,
1339,76,36,22,11,13,31,19,21,125,106,30,7,54,11,60,29,17,15,527,15,12,12,8,9,11,9,15,7,8,10,13,
1405,79,38,23,12,13,33,19,22,132,112,31,7,54,11,67,30,17,15,553,17,12,13,9,11,11,9,16,7,8,10,14,
