outputDesGD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
11,0,0,0,0,2,2,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
12,0,0,0,0,2,2,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
15,0,0,0,0,2,2,2,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,
17,0,0,0,0,2,2,2,1,0,0,1,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,
20,0,0,0,0,2,2,2,1,0,0,1,3,1,0,0,3,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,
26,0,0,0,0,2,2,2,1,0,0,2,4,1,0,1,4,0,1,2,0,0,0,2,0,1,0,0,1,0,0,0,
27,0,0,0,0,2,2,2,1,0,0,2,4,1,0,1,4,0,1,2,0,0,0,2,0,2,0,0,1,0,0,0,
33,0,0,0,0,2,2,2,3,0,0,3,4,1,0,1,4,0,1,3,0,0,0,2,1,3,0,0,1,0,0,0,
37,0,0,0,0,2,2,2,3,0,0,3,5,1,0,1,4,0,1,3,2,0,0,2,1,4,0,0,1,0,0,0,
41,0,0,0,0,2,2,2,3,0,0,3,6,1,1,1,4,1,1,3,2,0,0,3,1,4,0,0,1,0,0,0,
44,0,0,0,0,2,2,2,3,0,1,3,6,1,1,1,4,2,1,3,2,0,0,4,1,4,0,0,1,0,0,0,
48,0,0,1,0,2,2,2,3,0,1,3,6,1,1,1,5,2,1,3,2,0,0,5,1,4,0,1,1,0,0,0,
56,0,0,1,2,2,2,2,3,0,2,3,7,1,1,1,7,2,1,3,2,0,0,6,1,4,0,1,1,0,0,1,
62,0,0,1,2,2,3,2,3,0,3,3,7,1,1,1,7,2,1,3,3,0,0,8,1,4,0,2,1,0,0,1,
65,0,0,1,3,2,3,2,3,0,3,4,7,1,1,1,7,3,1,3,3,0,0,8,1,4,0,2,1,0,0,1,
75,0,0,1,4,2,3,2,3,0,4,4,8,1,3,2,7,3,2,4,4,0,0,8,2,4,0,2,1,0,0,1,
