outputDesGD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
83,0,0,1,5,2,3,2,3,0,4,4,8,2,3,3,7,4,2,4,4,0,1,9,4,4,0,2,1,0,0,1,
89,0,0,1,5,2,3,2,3,1,4,4,8,2,3,3,9,5,2,4,4,0,1,10,5,4,0,2,1,0,0,1,
94,0,0,1,5,3,3,2,3,1,4,4,8,2,3,3,9,5,2,4,4,0,1,11,7,4,0,2,2,0,0,1,
101,0,0,2,6,3,3,2,3,1,4,4,8,2,3,4,10,5,3,4,4,0,1,11,8,4,0,2,3,0,0,1,
107,0,0,3,6,3,3,2,3,1,5,5,8,2,3,4,10,5,3,5,4,1,1,12,8,4,0,2,3,0,0,1,
113,0,0,3,6,3,3,2,4,1,6,5,8,3,3,4,10,5,3,5,4,1,1,12,8,5,0,4,3,0,0,1,
119,0,0,3,6,3,3,2,4,1,6,7,8,3,3,4,11,5,3,5,4,1,1,12,9,6,0,5,3,0,0,1,
127,0,0,4,6,4,3,3,4,1,6,7,10,3,4,4,11,5,5,5,4,1,1,12,9,6,0,5,3,0,0,1,
137,0,0,4,6,4,3,3,5,1,6,7,11,3,4,5,11,5,5,6,6,1,1,12,9,7,0,5,5,0,1,1,
149,0,0,4,6,4,3,3,5,1,6,7,12,4,4,7,13,6,7,6,6,1,2,12,9,9,0,5,5,0,1,1,
158,0,0,5,6,4,3,3,5,1,6,7,13,4,5,7,14,8,7,6,7,1,2,13,9,9,0,6,5,0,1,1,
169,0,0,5,6,4,3,3,5,1,7,7,16,4,5,7,16,9,7,7,8,1,2,15,9,9,0,6,5,0,1,1,
177,0,0,6,6,4,4,3,5,1,8,7,18,4,5,7,17,10,8,7,8,1,2,15,9,9,0,6,5,0,1,1,
193,0,0,7,7,5,5,3,7,1,10,7,19,4,5,7,17,10,10,8,8,1,2,16,9,10,0,6,5,0,1,3,
203,0,0,8,7,5,5,3,8,1,10,8,19,6,5,8,19,10,10,8,8,1,2,16,9,11,0,6,6,0,1,3,
214,0,0,8,7,5,5,3,8,1,12,8,19,6,7,8,20,11,12,9,8,1,2,17,10,11,0,6,6,0,1,3,
224,0,0,8,7,5,6,3,8,1,12,9,20,7,7,9,22,12,12,10,9,1,2,17,10,11,0,6,6,0,1,3,
233,0,0,8,8,5,6,3,8,1,12,9,20,7,7,9,23,12,14,10,9,1,2,17,12,13,0,6,7,0,1,3,
243,0,0,9,9,6,6,4,8,1,12,9,22,7,7,10,24,12,14,10,9,1,2,17,12,15,0,6,7,0,1,3,
253,0,0,11,10,6,6,5,9,1,12,10,22,7,7,11,24,12,17,10,9,1,2,17,12,15,0,6,7,0,1,3,
270,0,0,12,10,7,7,5,9,1,13,11,23,8,8,12,26,12,20,11,11,1,2,17,12,15,0,6,7,0,1,3,
285,0,0,15,10,7,7,6,9,1,13,11,23,8,9,13,27,12,21,12,12,1,2,18,12,17,0,6,8,0,1,4,
298,1,0,17,10,8,7,6,10,1,13,11,23,8,10,14,28,13,23,12,12,1,3,19,12,17,0,6,8,0,1,4,
326,1,0,18,10,8,10,7,11,1,16,12,26,8,10,15,32,14,24,15,15,1,3,19,13,17,0,6,9,0,1,4,
334,1,0,18,10,9,10,7,11,1,16,13,27,9,10,15,32,15,24,15,15,1,3,20,13,18,0,6,9,1,1,4,
347,1,0,19,10,9,10,7,12,1,16,13,27,9,11,19,34,16,24,15,16,1,3,20,14,18,0,7,9,1,1,4,
352,1,0,19,10,9,10,7,12,1,16,13,28,9,11,21,35,17,24,15,16,1,3,20,14,18,0,7,9,1,1,4,
362,1,0,19,10,10,10,8,12,1,16,13,28,9,12,23,36,17,25,17,16,1,3,20,14,18,0,7,10,1,1,4,
375,1,0,20,11,10,11,8,12,1,17,13,28,10,12,23,38,18,27,17,17,1,4,20,15,18,0,7,10,1,1,4,
393,1,0,20,13,11,11,8,12,1,18,14,29,10,12,23,40,18,29,18,17,1,4,22,15,20,0,8,11,2,1,4,
412,1,0,21,14,11,11,8,12,1,21,14,30,11,14,24,42,18,30,18,17,1,4,25,15,21,0,9,12,2,1,4,
425,1,0,22,15,11,12,8,12,1,21,15,30,11,14,26,43,19,31,18,17,2,4,25,15,22,0,9,12,2,1,6,
433,1,0,23,15,12,12,8,12,1,21,15,31,11,14,27,45,19,32,18,17,2,4,25,15,22,0,9,12,2,2,6,
452,2,0,24,16,12,13,8,12,1,22,15,33,11,14,29,47,19,33,19,18,2,5,28,16,22,0,9,12,2,2,6,
