DegreeDegree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
1,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
2,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
3,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
4,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
5,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
6,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
7,NaN,6.251251251251252,8.243822075782537,9.17753897381565,9.849179716629381,10.311102878916174,10.663124129433195,10.934729478778781,11.174402327776031,11.381288935594432,11.537492648500294,11.67247538439555,11.785602982509793,11.813485290531963,11.884914856310738,11.94168463934819,11.946406652755616,11.939831254512903,11.867027297375556,11.94003288344445,12.107658321060383,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.747015915119363,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.053763440860216,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
8,NaN,6.284569138276553,8.251811594202898,9.18287387660305,9.847474120082815,10.311176968670619,10.663518726892782,10.934717658322548,11.17394005158206,11.381345367250848,11.537650287506533,11.67250461108988,11.785843272605472,11.813354350567465,11.885000990687537,11.941485474693021,11.946275159548355,11.939860928396918,11.867027297375556,11.940087086924313,12.107903780068728,12.038704814341429,12.38899106673673,12.388078957553864,13.07674963924964,13.764232081911263,14.7473474801061,16.435185185185187,17.119272237196764,13.005997001499251,13.89367816091954,24.054659498207887,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
9,NaN,6.489230769230769,8.280250576986482,9.198616999798102,9.84449958643507,10.311713332980469,10.662881984914861,10.935889910022615,11.173844339622642,11.381585770854153,11.538485165337864,11.672930644309085,11.786360062893081,11.813797480591646,11.885240704229538,11.94244819738891,11.945961066830165,11.940771131982205,11.864872685185185,11.939547736878229,12.10865620402158,12.039163635171894,12.391864644516525,12.388853051219197,13.070464362850972,13.764505119453926,14.747679045092838,16.435648148148147,17.119609164420485,13.009495252373814,13.89367816091954,24.055555555555557,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
