outputOriSC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
9,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
9,1,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
10,1,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
10,1,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
11,1,0,1,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
11,1,0,1,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
13,1,0,1,0,0,0,0,0,2,1,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
13,1,0,1,0,0,0,0,0,2,1,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
15,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,
15,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,
16,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,
16,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,
16,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,
16,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,
16,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,
17,1,0,1,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,
21,1,0,1,0,0,0,0,0,2,3,0,0,3,0,3,0,0,0,4,1,0,0,1,0,0,1,1,0,0,0,0,
22,1,0,1,0,0,0,0,0,2,3,0,1,3,0,3,0,0,0,4,1,0,0,1,0,0,1,1,0,0,0,0,
24,1,0,1,0,0,0,0,0,3,3,0,1,3,0,3,0,0,0,4,2,0,0,1,0,0,1,1,0,0,0,0,
27,2,0,1,0,0,0,0,0,3,4,0,1,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
28,2,0,1,0,0,0,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
29,2,0,1,0,0,1,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
29,2,0,1,0,0,1,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
29,2,0,1,0,0,1,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
31,3,0,1,0,0,2,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
31,3,0,1,0,0,2,0,0,3,4,0,2,3,0,3,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
32,3,0,1,0,0,2,0,0,3,4,0,2,3,0,4,0,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
34,3,0,1,0,0,2,0,0,3,5,0,2,3,0,4,1,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
