Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,6,2,2,0,0,2,3,1,6,5,2,0,1,0,1,1,0,0,3,0,1,1,2,3,0,0,1,0,0,0,0,
2,11,3,2,0,0,0,2,2,5,6,2,0,6,0,5,0,2,0,13,1,2,0,0,1,1,0,1,0,1,0,0,
3,182,99,71,35,25,40,41,33,249,243,56,17,92,13,133,53,29,30,458,36,36,21,41,13,22,16,28,14,18,16,24,
4,46,19,12,10,6,10,10,3,61,54,13,8,22,7,33,12,12,7,109,10,10,6,8,4,2,3,6,4,5,3,5,
5,26,15,12,0,8,4,5,3,35,30,4,3,21,6,21,5,7,5,59,4,4,2,9,3,4,1,6,2,2,3,5,
6,37,25,18,5,3,12,10,12,50,59,12,8,24,10,45,15,7,6,119,7,6,1,6,7,6,3,6,5,2,3,5,
7,20,15,5,1,4,7,4,4,36,32,5,2,10,1,13,8,3,7,68,6,6,1,4,4,2,1,5,4,1,1,1,
8,34,11,11,10,3,11,12,6,47,43,13,7,28,4,31,8,10,8,89,7,8,3,3,2,10,2,4,5,3,3,1,
9,4,1,0,0,0,0,2,0,1,7,2,0,0,1,3,1,1,3,13,1,0,1,1,0,1,0,0,0,1,0,0,
10,133,63,33,12,5,37,24,26,158,181,38,16,71,13,107,48,26,27,324,20,25,16,17,10,13,18,19,10,9,10,7,
11,60,24,14,10,6,20,15,11,74,68,40,13,35,6,45,11,11,13,132,9,10,12,13,10,10,5,8,5,3,9,8,
12,122,60,43,14,14,42,32,21,177,185,41,19,57,15,95,28,37,20,293,29,27,9,25,15,13,9,19,10,13,8,11,
13,30,19,25,8,5,22,7,18,60,58,15,3,30,8,48,17,8,11,112,8,8,3,9,10,9,2,9,2,5,2,5,
14,75,39,17,11,9,26,14,18,97,99,19,14,42,14,52,19,12,12,179,6,16,9,17,8,7,6,11,6,7,8,6,
15,267,126,87,34,29,86,59,56,315,337,78,34,134,43,194,83,48,49,672,45,60,30,48,24,36,21,40,33,23,30,28,
16,489,273,150,64,54,131,107,101,587,632,153,61,278,64,358,162,101,76,1146,95,98,58,110,52,42,43,67,48,38,49,45,
17,105,70,27,14,6,21,25,14,108,137,25,13,56,12,81,29,33,15,261,19,19,14,23,9,15,10,21,11,10,8,8,
18,161,84,60,30,18,39,41,39,208,218,67,22,87,28,106,45,35,26,401,33,14,15,33,15,23,10,31,18,13,12,8,
19,77,63,19,7,9,20,24,15,104,115,35,10,68,10,79,23,20,12,263,13,17,7,16,6,11,7,17,9,6,9,4,
20,84,55,22,15,11,26,24,17,123,132,27,14,68,10,64,26,23,15,268,32,34,14,19,11,11,5,11,14,5,9,7,
21,8,1,2,2,2,2,2,1,8,9,3,1,7,1,6,0,2,0,14,0,3,0,1,2,0,0,0,0,0,1,0,
22,44,36,16,9,2,12,12,9,46,51,14,3,18,2,23,15,5,8,103,8,9,3,19,3,10,5,4,12,3,3,5,
23,215,88,62,29,28,59,56,46,301,296,74,41,126,26,166,61,40,35,595,49,52,25,78,31,33,16,31,22,19,19,26,
24,68,35,18,9,4,10,12,10,84,77,25,4,33,11,36,17,15,10,145,11,5,7,16,9,9,5,12,7,7,11,4,
25,81,47,20,9,8,34,12,13,104,123,23,8,46,13,56,31,21,15,199,17,9,4,13,11,14,10,13,9,6,13,12,
26,3,0,1,0,0,2,0,0,3,5,0,2,3,0,4,1,0,0,5,2,0,0,1,0,0,1,1,0,0,0,0,
27,53,27,20,6,5,17,10,4,71,79,18,9,29,8,37,17,13,11,123,13,5,7,15,8,6,4,11,10,4,8,6,
28,39,17,9,7,4,11,9,6,52,40,11,6,29,3,28,4,8,6,94,10,10,5,11,6,4,5,7,8,3,4,6,
29,8,6,2,1,0,3,0,0,5,2,1,0,1,1,2,1,0,0,13,1,1,0,2,1,0,0,1,0,0,1,1,
30,6,3,0,1,0,5,0,2,12,7,2,0,3,2,5,4,1,0,7,1,4,1,2,0,0,1,2,1,0,1,3,
31,16,11,3,0,1,9,6,4,22,30,10,1,13,5,18,5,2,4,42,1,6,5,7,1,6,2,2,3,1,0,3,
