outputOriHN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
727,67,25,22,5,7,23,16,9,89,78,17,13,29,8,50,12,21,13,126,13,10,7,12,9,8,6,11,6,3,4,8,
797,70,27,24,5,7,26,16,13,96,89,17,13,32,8,53,14,24,14,145,14,13,7,12,9,8,6,12,7,4,4,8,
846,73,30,26,7,7,26,16,13,101,99,19,13,36,8,58,16,24,14,151,14,13,7,13,10,8,7,12,7,5,5,8,
900,77,34,26,7,8,27,18,14,107,105,21,13,39,8,64,16,24,15,163,15,15,7,14,10,8,7,12,7,6,5,8,
972,83,35,32,7,10,31,20,16,109,113,24,16,42,9,68,18,24,15,180,15,15,7,16,10,8,8,12,7,7,6,9,
1041,86,39,33,7,10,31,21,18,115,120,27,16,45,10,73,21,27,16,200,18,15,7,17,11,8,8,12,8,7,6,9,
1100,91,42,36,7,11,31,22,18,123,128,30,16,47,11,74,21,30,18,211,18,16,7,17,12,9,8,13,9,9,6,9,
1177,99,44,36,7,12,33,24,21,131,138,31,18,48,13,77,23,30,18,228,23,16,8,18,12,11,8,15,10,9,6,10,
1255,104,47,40,10,12,36,29,21,142,147,34,18,49,14,82,25,32,19,239,26,18,8,20,12,11,8,15,10,11,6,10,
1332,110,50,40,11,14,38,30,21,153,155,36,18,51,14,84,26,34,19,259,26,22,8,22,14,12,9,17,10,13,6,10,
1403,116,52,41,12,14,39,31,21,164,170,38,18,55,14,90,26,36,19,271,27,23,8,24,14,13,9,18,10,13,7,10,
1503,122,60,43,14,14,42,32,21,177,185,41,19,57,15,95,28,37,20,293,29,27,9,25,15,13,9,19,10,13,8,11,
