outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
330,0,0,24,8,8,10,2,11,1,18,14,17,13,7,22,39,12,13,17,17,1,3,24,8,12,3,6,10,0,3,7,
363,0,0,24,8,8,13,2,12,1,20,14,20,14,8,26,41,15,14,18,18,1,3,29,8,16,3,7,10,0,3,7,
386,0,0,24,9,8,15,2,12,1,21,14,20,15,8,28,43,17,16,18,20,1,3,35,9,17,3,7,10,0,3,7,
413,0,0,29,9,8,16,2,13,1,23,15,22,16,10,31,45,20,16,19,21,1,3,37,9,17,3,7,10,0,3,7,
448,0,0,32,9,8,17,2,13,1,25,16,25,17,11,36,48,21,17,23,22,1,4,40,10,19,3,7,11,0,3,7,
479,0,0,32,9,9,18,2,14,1,25,16,27,19,11,39,55,21,23,24,23,1,4,41,11,21,3,9,11,0,3,7,
521,0,1,35,10,9,19,2,14,1,26,18,33,21,15,43,59,21,28,24,25,2,4,46,11,21,3,9,11,0,3,7,
552,0,1,36,11,10,20,2,14,1,28,18,33,22,15,46,64,24,31,26,26,2,5,47,13,23,3,9,12,0,3,7,
583,0,1,39,13,10,20,3,15,2,29,18,34,23,17,47,68,24,31,29,28,3,6,49,13,24,3,10,13,1,3,7,
617,0,1,41,13,10,21,3,15,2,33,18,35,24,18,54,72,24,33,32,28,3,6,53,15,24,3,11,14,1,3,7,
649,0,1,46,13,12,22,3,15,2,34,18,37,24,18,59,76,25,33,34,30,3,7,56,15,24,3,14,14,1,3,7,
697,0,1,50,13,12,23,4,17,2,35,20,40,24,19,61,87,29,38,38,30,4,7,60,17,24,3,14,14,1,3,7,
742,0,1,52,17,12,24,4,17,2,38,21,43,25,22,65,96,30,39,39,32,5,8,64,18,24,3,15,15,1,3,7,
779,0,1,57,17,12,26,4,18,3,40,21,46,26,22,70,99,34,40,40,33,5,8,66,18,27,3,16,16,1,3,7,
817,0,1,58,17,12,27,5,20,3,41,21,49,26,22,76,107,37,41,40,33,5,9,68,20,30,3,17,17,1,3,8,
871,0,2,60,17,12,30,5,21,3,43,24,50,28,24,84,116,39,43,46,34,5,9,74,20,31,3,18,18,1,3,8,
954,0,2,68,18,12,30,7,22,3,47,25,53,29,27,92,133,46,44,51,38,5,11,80,22,33,3,18,21,1,3,10,
1008,0,2,73,20,13,31,8,22,3,52,27,58,29,28,100,143,46,44,51,40,5,12,83,23,35,3,20,22,1,3,11,
1075,0,2,76,22,13,32,8,23,3,56,30,64,32,29,107,155,48,50,52,41,5,13,89,27,36,3,20,23,2,3,11,
1157,0,2,82,25,13,33,8,25,3,61,31,68,36,33,113,170,56,55,55,41,5,13,100,28,38,3,20,23,2,3,12,
1249,0,2,86,26,14,34,8,28,3,67,33,73,36,36,123,192,59,60,56,46,5,13,110,29,41,3,24,24,2,3,13,
1324,0,2,92,26,14,35,8,28,3,73,33,74,36,38,128,211,63,69,57,48,5,15,120,31,42,3,27,24,2,4,13,
1396,0,3,96,27,15,36,8,28,3,80,34,77,39,39,141,224,64,74,61,50,5,16,124,32,45,3,27,24,2,5,14,
1502,0,4,103,28,18,38,10,28,3,84,34,82,41,40,153,248,69,84,67,53,5,17,135,32,47,3,29,26,2,5,14,
1629,1,4,116,30,20,41,12,28,3,90,38,84,47,46,167,272,76,91,70,55,6,21,144,32,50,3,32,27,2,5,16,
1757,1,5,126,33,21,43,13,29,3,100,42,90,47,48,183,309,78,99,73,56,6,21,158,32,52,4,34,27,2,5,17,
1895,1,5,133,33,21,45,13,31,3,107,45,95,48,52,194,358,81,106,79,64,6,23,166,36,56,4,37,28,2,5,18,
