outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,0,0,0,1,0,0,0,0,0,1,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
14,0,0,1,2,0,0,0,0,0,1,0,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
19,0,0,1,2,0,0,0,0,0,1,0,1,3,0,5,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
23,0,0,1,2,0,0,0,0,0,1,0,1,3,1,5,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,
33,0,0,2,2,0,1,0,0,0,1,1,3,4,1,5,6,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,
39,0,0,2,3,0,1,0,1,0,1,2,3,4,2,5,6,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,
49,0,0,2,3,0,1,0,1,0,1,2,4,5,3,5,8,1,2,2,1,0,1,2,1,1,0,2,1,0,0,0,
60,0,0,4,3,1,1,0,1,0,1,2,5,6,3,6,10,1,2,2,1,0,1,3,1,1,0,2,3,0,0,0,
65,0,0,4,3,1,1,0,1,0,1,2,5,6,3,6,10,2,3,2,1,0,1,4,2,1,1,2,3,0,0,0,
72,0,0,4,3,1,2,0,1,0,1,2,5,6,3,6,10,2,3,3,3,0,1,5,2,1,1,3,4,0,0,0,
79,0,0,4,3,1,2,1,1,0,2,3,6,6,3,6,10,2,3,5,3,0,1,5,2,1,1,3,4,0,0,1,
91,0,0,6,3,1,2,1,2,0,3,3,7,6,3,6,11,2,3,7,3,0,1,8,2,1,1,3,4,0,0,2,
105,0,0,6,3,1,2,1,3,0,5,3,9,6,3,6,12,2,3,8,5,0,1,9,2,2,2,4,5,0,0,2,
113,0,0,6,4,1,2,1,3,0,5,4,9,7,3,7,14,2,4,8,5,0,1,9,2,2,2,4,6,0,0,2,
119,0,0,7,5,1,2,1,3,0,5,4,9,7,3,7,15,2,6,8,5,0,1,10,2,2,2,4,6,0,0,2,
128,0,0,7,6,2,2,1,3,0,6,6,9,8,3,7,16,2,7,8,5,0,1,10,2,2,2,4,7,0,0,2,
140,0,0,9,6,2,3,1,3,0,6,8,9,8,3,9,17,3,8,8,5,0,2,10,2,2,2,4,7,0,0,3,
159,0,0,10,6,2,3,1,3,1,7,8,9,9,4,11,19,6,8,9,7,0,2,13,2,2,2,4,8,0,0,3,
169,0,0,12,6,2,4,1,3,1,7,9,9,9,5,12,20,6,9,9,7,0,2,14,2,2,3,4,8,0,0,3,
189,0,0,13,6,2,5,1,3,1,9,9,10,10,5,13,22,6,9,9,9,0,3,15,4,3,3,5,8,0,1,5,
222,0,0,15,7,3,6,1,6,1,12,12,13,10,5,16,25,6,10,13,11,0,3,16,5,4,3,5,8,0,1,5,
239,0,0,16,7,4,8,2,6,1,12,13,13,10,6,16,28,7,11,14,12,0,3,17,5,5,3,5,9,0,1,5,
263,0,0,19,7,4,9,2,8,1,14,13,13,10,7,18,31,10,11,14,12,0,3,19,7,7,3,5,9,0,2,5,
287,0,0,20,7,8,9,2,9,1,16,13,14,10,7,20,32,11,12,15,12,1,3,23,8,7,3,6,10,0,3,5,
304,0,0,21,7,8,10,2,11,1,17,13,15,13,7,21,35,11,12,16,12,1,3,23,8,9,3,6,10,0,3,6,
