movedByPro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
427,13,4,4,5,5,7,2,5,24,22,37,5,16,3,8,12,13,9,151,11,2,3,29,4,14,3,5,2,0,2,11,
440,14,4,6,5,5,8,2,5,24,24,37,5,17,3,9,12,13,9,155,11,2,3,29,4,14,3,6,2,0,2,11,
477,18,4,6,5,5,9,3,5,29,27,38,5,19,5,11,13,14,9,164,12,4,3,29,4,14,3,7,3,1,2,11,
522,23,5,6,6,5,10,3,6,31,34,38,6,20,5,14,15,15,9,173,14,6,4,29,4,16,3,7,5,2,2,12,
582,29,7,6,6,6,10,4,6,40,40,40,6,23,5,19,17,17,10,187,16,6,5,32,5,16,3,7,6,2,2,12,
655,39,8,7,7,6,12,4,9,46,46,41,6,28,7,23,19,17,11,206,17,6,5,34,5,17,4,8,7,4,3,13,
725,46,10,8,7,7,14,7,10,54,54,43,8,31,8,33,20,19,15,219,18,6,6,38,5,20,6,9,7,4,3,13,
825,54,12,10,8,8,15,10,10,62,65,46,10,37,10,39,24,20,18,240,20,9,9,39,6,21,7,11,8,4,4,14,
930,61,18,12,9,10,18,11,12,74,69,49,13,43,13,49,29,24,21,257,23,10,11,40,10,21,7,12,10,4,4,15,
1041,72,21,13,11,10,19,15,16,85,81,53,14,51,16,60,32,24,22,279,26,12,13,42,10,21,9,13,13,4,4,15,
1162,79,26,17,12,12,25,18,17,97,100,54,15,56,16,65,36,30,23,305,27,14,15,46,13,21,9,14,16,4,6,15,
1294,91,31,20,14,12,32,24,19,111,114,57,16,62,17,72,37,32,25,337,28,16,17,47,15,21,12,14,16,4,8,16,
1423,100,37,21,15,13,33,31,19,140,126,57,16,72,17,79,38,34,25,368,32,17,19,49,15,24,12,15,18,4,8,17,
1578,110,40,25,18,14,36,33,25,161,137,64,18,79,18,91,41,36,27,411,33,23,21,51,18,25,12,15,19,4,8,19,
1739,121,47,27,21,15,39,38,26,183,160,71,19,87,19,105,44,37,27,448,36,25,21,52,20,28,15,19,20,4,8,20,
1893,133,51,31,22,15,42,39,26,200,181,81,20,96,19,113,48,43,32,480,39,28,22,56,22,31,15,20,24,5,9,21,
2078,152,57,40,25,15,46,43,28,223,200,84,22,113,21,119,50,44,34,516,44,33,23,59,25,35,18,22,26,5,12,21,
2282,174,65,44,27,17,52,44,31,251,220,89,25,120,22,128,52,44,37,562,47,38,26,65,28,37,18,26,29,6,14,24,
2430,200,74,54,30,18,55,48,35,275,243,96,29,125,26,140,57,50,41,606,49,42,30,67,31,41,23,31,29,6,19,26,
2754,222,89,62,32,23,60,52,45,314,276,104,31,145,32,159,66,56,44,684,56,46,32,73,35,44,28,38,32,8,20,28,
3006,244,96,71,34,24,67,58,47,343,302,111,34,155,35,169,74,63,46,744,61,51,34,78,40,48,28,44,37,10,23,29,
3242,262,108,81,37,25,71,62,56,371,334,114,38,169,37,189,79,68,53,790,64,55,38,81,44,49,31,46,37,11,26,32,
3518,304,114,88,40,26,77,73,59,402,360,120,38,184,42,222,86,71,59,836,72,59,38,85,48,53,34,48,40,13,29,33,
3824,341,123,93,42,33,85,79,64,442,392,127,41,201,47,239,96,76,63,901,80,65,41,91,48,55,41,54,41,13,31,36,
4124,362,142,100,45,36,90,91,69,486,424,134,42,210,51,263,104,80,69,968,86,67,45,103,54,57,44,57,44,15,33,40,
4454,393,159,107,45,39,99,97,78,527,457,145,49,222,59,287,112,88,75,1026,92,72,47,110,56,63,46,68,46,17,38,40,
4794,424,172,118,48,49,111,106,86,559,506,157,51,242,62,304,118,95,81,1094,98,78,52,121,57,68,50,73,46,17,43,42,
5176,446,196,129,53,51,121,112,93,599,557,167,61,264,65,330,123,100,85,1172,107,81,54,124,65,73,54,76,49,20,49,47,
5565,474,213,135,56,56,132,118,102,646,602,180,65,281,71,363,136,113,89,1256,115,87,59,132,68,78,56,85,50,24,49,53,
5955,509,225,148,60,59,139,128,111,703,651,190,70,299,73,386,152,124,94,1340,119,95,62,144,69,81,57,90,54,26,50,57,
6175,544,249,158,64,64,149,133,111,752,691,202,76,315,78,413,163,136,97,1403,127,104,65,150,72,82,60,93,65,33,53,64,
6788,610,280,166,71,72,168,144,119,817,756,218,85,344,87,448,190,149,108,1543,134,113,71,161,79,90,65,99,73,39,59,68,
7262,649,317,184,77,77,179,155,126,883,827,227,90,364,94,479,202,155,113,1633,141,118,72,169,81,97,66,106,77,44,66,71,
7756,694,341,193,88,81,188,161,134,937,882,240,96,387,97,521,216,167,130,1756,150,121,77,180,84,102,67,111,81,47,71,78,
8285,737,369,211,94,87,203,174,145,997,954,254,101,408,102,552,233,181,139,1866,157,132,90,187,88,104,70,119,87,55,77,83,
8821,799,397,228,100,93,217,185,157,1067,1015,265,111,430,110,583,247,190,148,1971,167,136,100,194,94,108,77,129,91,57,85,93,
9363,850,421,243,105,97,226,197,171,1121,1079,278,115,462,113,617,262,202,159,2095,178,147,104,209,99,117,86,139,95,67,90,99,
9939,902,450,255,110,102,244,209,178,1191,1157,297,120,487,123,649,280,219,167,2214,187,161,109,228,104,122,91,147,98,73,96,101,
10547,944,477,273,121,108,253,226,189,1269,1223,310,129,521,126,697,295,226,179,2364,201,170,113,236,107,130,92,155,105,75,106,110,
11220,998,509,295,127,117,266,243,205,1337,1303,330,140,551,138,742,310,236,186,2528,211,186,120,255,111,142,96,167,113,78,107,114,
11865,1052,537,307,131,123,276,265,216,1421,1380,351,148,596,142,779,325,248,200,2684,220,195,125,270,121,148,98,178,121,83,111,118,
12601,1120,566,328,139,127,294,283,235,1497,1479,375,154,635,151,817,343,258,212,2854,234,219,136,286,129,153,100,185,129,93,117,124,
13091,1190,601,348,157,137,317,309,254,1587,1564,393,160,677,157,871,368,269,228,3016,245,231,148,304,139,164,107,196,136,100,131,134,
14379,1310,659,386,172,151,348,330,278,1723,1717,430,181,739,174,954,402,297,252,3341,271,259,158,324,150,176,113,213,149,107,140,150,
15346,1387,700,414,183,159,379,351,301,1843,1833,463,193,799,187,1008,431,321,267,3563,287,283,169,341,160,180,124,221,156,121,147,156,
16329,1489,755,447,197,168,406,370,316,1957,1957,493,206,854,197,1075,454,338,286,3790,305,306,173,357,171,189,131,236,166,126,151,163,
17403,1592,817,493,214,184,437,393,333,2080,2075,527,225,911,213,1157,482,354,298,4026,328,333,179,379,178,196,138,252,173,133,156,171,
18490,1698,866,531,227,197,459,409,345,2209,2207,558,243,973,221,1249,508,370,311,4282,348,352,190,394,196,211,151,266,182,140,165,178,
19638,1821,920,570,239,205,497,429,362,2360,2355,586,256,1027,237,1324,541,391,325,4547,361,373,205,412,211,222,154,282,194,155,177,180,
20926,1960,975,610,260,214,529,450,386,2469,2515,636,266,1110,254,1396,575,409,350,4846,389,401,211,435,216,235,163,304,207,163,189,200,
22320,2083,1053,650,281,227,569,482,413,2655,2685,679,282,1185,269,1502,614,433,365,5144,413,434,226,465,228,254,175,321,219,171,203,206,
23843,2208,1136,693,297,240,619,516,435,2823,2900,718,296,1260,287,1629,653,462,388,5475,437,457,240,493,244,276,189,344,242,185,219,215,
25464,2337,1238,730,318,255,657,546,458,3004,3122,772,309,1337,314,1757,698,491,408,5879,461,481,257,529,258,294,200,373,254,193,229,229,
27377,2510,1337,783,353,269,720,580,495,3209,3360,828,339,1438,337,1895,750,532,431,6322,494,505,280,569,279,320,211,394,272,208,244,244,
