outputDesGD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
317,1,0,14,6,2,4,5,4,0,18,11,23,13,13,38,42,7,12,9,14,1,6,25,6,15,0,11,4,2,4,7,
348,1,0,16,6,2,4,5,5,0,19,12,26,13,16,42,47,8,14,10,15,2,6,27,6,17,0,12,4,2,4,7,
379,1,0,17,6,2,6,5,6,0,20,12,26,14,17,47,54,9,16,10,16,2,6,32,6,20,0,12,4,2,4,7,
406,1,0,20,6,2,6,5,7,0,22,12,27,16,17,54,57,9,19,11,17,2,7,33,6,20,0,12,5,2,4,7,
437,1,0,20,6,2,6,6,8,0,23,13,31,16,18,57,64,12,22,12,18,2,7,35,6,21,0,12,6,2,4,7,
459,1,0,21,6,3,7,6,8,0,24,13,31,16,19,58,70,12,24,13,19,2,8,35,7,22,1,12,7,2,5,7,
497,1,0,24,7,3,9,6,9,0,27,13,31,17,20,62,76,13,27,14,20,2,8,40,7,24,1,13,8,3,5,7,
529,2,0,27,7,3,11,6,10,0,29,15,33,17,21,66,77,14,28,14,20,2,10,44,8,24,1,14,10,3,5,8,
569,2,0,30,8,3,11,6,10,0,30,17,36,17,22,71,87,16,31,16,20,2,10,46,8,27,2,15,10,3,5,8,
619,2,0,32,9,3,11,6,11,0,32,18,38,19,23,75,102,18,34,17,23,2,10,52,8,31,2,15,10,3,5,8,
657,2,0,36,9,3,12,7,11,0,35,19,39,19,25,79,110,19,35,18,24,2,10,55,9,32,2,17,11,3,5,9,
720,2,0,40,10,4,12,7,11,0,37,20,42,22,26,86,131,21,39,20,26,2,12,59,10,34,2,17,11,3,5,9,
